State,Quarter,Rate,Quarter_Num
Missouri,Q12012,0.4127,6
Montana,Q42010,0.6429,1
Montana,Q12011,0.6406000000000001,2
Montana,Q22011,0.6578,3
Montana,Q32011,0.6683,4
Montana,Q42011,0.6674,5
Montana,Q12012,0.6523,6
Nebraska,Q42010,0.45409999999999995,1
Nebraska,Q12011,0.4337,2
Nebraska,Q22011,0.436,3
Nebraska,Q32011,0.44049999999999995,4
Nebraska,Q42011,0.4389,5
Nebraska,Q12012,0.45189999999999997,6
New Hampshire,Q42010,0.5576,1
New Hampshire,Q12011,0.5594,2
New Hampshire,Q22011,0.5643,3
New Hampshire,Q32011,0.5334,4
New Hampshire,Q42011,0.5247999999999999,5
New Hampshire,Q12012,0.5253,6
New Jersey,Q42010,0.3037,1
New Jersey,Q12011,0.3109,2
New Jersey,Q22011,0.3039,3
New Jersey,Q32011,0.3109,4
New Jersey,Q42011,0.3127,5
New Jersey,Q12012,0.33340000000000003,6
New York,Q42010,0.1249,1
New York,Q12011,0.1267,2
New York,Q22011,0.13140000000000002,3
New York,Q32011,0.1451,4
New York,Q42011,0.1277,5
New York,Q12012,0.1229,6
North Carolina,Q42010,0.5239,1
North Carolina,Q12011,0.519,2
North Carolina,Q22011,0.532,3
North Carolina,Q32011,0.534,4
North Carolina,Q42011,0.5284,5
North Carolina,Q12012,0.5126,6
Ohio,Q42010,0.5545,1
Ohio,Q12011,0.5593,2
Ohio,Q22011,0.5700999999999999,3
Ohio,Q32011,0.5700999999999999,4
Ohio,Q42011,0.5751,5
Ohio,Q12012,0.5645,6
Pennsylvania,Q42010,0.4531,1
Pennsylvania,Q12011,0.4536,2
Pennsylvania,Q22011,0.45530000000000004,3
Pennsylvania,Q32011,0.4559,4
Pennsylvania,Q42011,0.4551,5
Pennsylvania,Q12012,0.45270000000000005,6
South Carolina,Q42010,0.30829999999999996,1
South Carolina,Q12011,0.26170000000000004,2
South Carolina,Q22011,0.2556,3
South Carolina,Q32011,0.2641,4
South Carolina,Q42011,0.2966,5
South Carolina,Q12012,0.228,6
Tennessee,Q42010,0.3268,1
Tennessee,Q12011,0.3249,2
Tennessee,Q22011,0.3382,3
Tennessee,Q32011,0.3428,4
Tennessee,Q42011,0.3385,5
Tennessee,Q12012,0.34,6
Virginia,Q42010,0.2645,1
Virginia,Q12011,0.36229999999999996,2
Virginia,Q22011,0.3455,3
Virginia,Q32011,0.359,4
Virginia,Q42011,0.3443,5
Virginia,Q12012,0.3701,6
Washington,Q42010,0.5811,1
Washington,Q12011,0.5893,2
Washington,Q22011,0.5882000000000001,3
Washington,Q32011,0.5846,4
Washington,Q42011,0.5842,5
Washington,Q12012,0.5947,6
Wisconsin,Q42010,0.5735,1
Wisconsin,Q12011,0.5710000000000001,2
Wisconsin,Q22011,0.5720000000000001,3
Wisconsin,Q32011,0.5688,4
Wisconsin,Q42011,0.5660000000000001,5
Wisconsin,Q12012,0.5814,6
Wyoming,Q42010,0.5931000000000001,1
Wyoming,Q12011,0.5946,2
Wyoming,Q22011,0.5937,3
Wyoming,Q32011,0.5911,4
Wyoming,Q42011,0.5854,5
Wyoming,Q12012,0.5881000000000001,6
