wage,hours,IQ,KWW,educ,exper,tenure,age,married,black,south,urban,sibs,brthord,meduc,feduc,lwage
808,60,109,47,13,14,12,38,1,0,0,1,2,2,12,10,6.694561958312988
1100,40,105,45,12,22,14,38,1,0,0,1,1,1,12,12,7.003065586090088
1154,40,134,46,18,10,10,37,1,0,1,1,2,1,12,12,7.050989627838135
1749,40,108,32,12,13,9,29,0,0,0,1,7,1,12,9,7.466799259185791
1000,50,104,36,16,11,8,30,1,0,0,1,1,1,12,11,6.907755374908447
462,40,112,35,12,11,1,29,1,0,0,1,8,3,12,NA,6.135564804077148
769,55,120,49,18,8,12,32,0,0,0,1,1,1,11,8,6.6450910568237305
875,50,124,40,16,9,3,31,0,0,0,0,2,2,17,16,6.774223804473877
1375,40,103,34,12,12,7,29,1,0,0,1,4,2,12,10,7.2262091636657715
1452,45,115,45,17,1,7,30,1,0,0,1,3,1,12,14,7.280697345733643
800,40,96,33,12,17,12,35,1,0,0,1,1,2,6,8,6.684611797332764
1748,55,123,48,17,10,7,36,1,0,0,1,1,1,12,12,7.4662275314331055
1151,40,98,34,12,12,12,29,1,0,0,1,3,4,12,8,7.048386573791504
840,50,96,34,12,18,13,35,1,0,0,1,2,1,12,8,6.733401775360107
978,45,89,47,12,17,2,38,1,0,0,1,0,1,12,NA,6.885509490966797
963,40,109,43,12,15,15,37,0,0,0,0,5,NA,NA,7,6.870053291320801
619,42,93,20,12,10,10,28,0,0,0,1,8,NA,9,11,6.428105354309082
442,60,82,32,12,12,0,33,1,0,0,1,2,3,12,9,6.091310024261475
600,40,120,45,15,12,1,38,1,0,0,0,3,4,12,NA,6.396929740905762
1366,38,122,38,12,15,15,32,1,0,0,1,1,2,12,NA,7.219642162322998
1643,48,117,48,18,8,2,33,1,0,0,1,2,2,12,18,7.4042792320251465
1455,40,109,44,16,8,13,36,1,0,0,1,1,2,8,8,7.282761096954346
2310,40,114,55,18,12,7,38,1,0,0,1,2,NA,12,16,7.745002746582031
1682,45,126,40,16,10,11,31,1,0,0,1,1,1,12,16,7.427738666534424
1235,40,82,45,12,10,2,33,1,0,0,1,1,1,11,11,7.118826389312744
855,45,119,45,16,11,4,32,1,0,0,1,3,1,12,9,6.751101493835449
1072,42,104,37,16,6,8,35,1,0,0,1,2,2,12,6,6.97728157043457
1040,40,115,49,15,8,15,35,1,0,0,1,3,4,NA,11,6.946976184844971
1000,50,97,45,12,17,15,36,1,0,0,1,1,2,12,12,6.907755374908447
675,40,105,27,15,8,2,31,1,0,0,0,3,NA,14,12,6.514712810516357
1100,37,100,32,12,14,1,30,1,0,0,1,1,2,7,7,7.003065586090088
996,50,114,41,12,5,14,31,1,0,0,1,2,1,12,10,6.903747081756592
732,40,73,28,10,17,5,36,1,0,0,1,5,6,NA,NA,6.595780372619629
1200,40,96,48,11,15,3,37,1,0,0,1,4,3,8,8,7.090076923370361
1694,30,113,30,15,9,8,29,0,0,0,1,3,1,12,16,7.434847831726074
686,55,106,38,10,15,3,36,1,0,1,1,4,5,14,10,6.530877590179443
754,40,104,37,13,9,5,32,1,0,0,1,1,2,8,NA,6.625392436981201
857,35,80,39,10,14,15,33,1,0,0,1,2,1,NA,12,6.7534379959106445
832,50,104,30,13,4,2,30,1,0,0,1,1,2,12,8,6.723832607269287
579,44,122,36,13,8,1,30,1,0,0,0,4,1,16,16,6.361302375793457
672,61,96,38,12,13,3,34,1,0,0,1,2,NA,12,13,6.510258197784424
2500,40,95,51,15,12,9,36,1,0,0,1,3,1,16,16,7.8240461349487305
1076,45,105,24,12,5,8,31,0,0,0,1,1,1,16,17,6.981005668640137
750,40,94,18,12,16,3,37,1,1,0,1,7,3,8,8,6.620073318481445
1186,30,91,41,17,8,9,33,1,0,0,1,1,1,12,14,7.078341484069824
833,48,96,37,16,9,7,31,1,0,0,1,4,4,12,14,6.725033760070801
650,40,69,37,12,14,11,30,1,1,0,1,3,4,10,9,6.476972579956055
1250,46,110,37,12,5,16,38,1,0,0,0,1,1,NA,12,7.130898952484131
1122,48,111,44,15,12,9,31,1,0,0,1,3,1,9,12,7.0228681564331055
865,40,110,35,16,1,11,31,1,0,0,1,3,1,9,12,6.762729644775391
808,40,97,37,16,10,7,29,1,0,0,1,3,3,9,12,6.694561958312988
1299,60,125,44,18,6,12,35,0,0,0,1,1,2,8,8,7.1693501472473145
903,40,91,39,12,6,12,36,1,0,0,1,5,4,9,10,6.805722713470459
900,40,86,28,12,17,15,37,1,0,0,1,5,3,8,10,6.802394866943359
625,40,110,32,12,18,0,35,1,0,0,1,4,1,9,8,6.437751770019531
1586,40,92,47,14,16,1,36,1,0,1,1,4,4,12,NA,7.3689703941345215
962,40,85,41,10,15,16,38,1,0,0,1,1,2,9,12,6.869014263153076
1539,45,120,36,17,7,8,34,1,0,0,1,1,1,8,8,7.338888168334961
1110,52,106,42,12,11,6,33,1,0,0,0,5,2,12,12,7.012115478515625
1282,45,112,41,16,6,6,31,0,0,1,1,2,2,12,12,7.156176567077637
770,48,91,39,12,13,2,38,1,0,0,1,1,2,10,8,6.646390438079834
1000,45,90,42,12,16,0,38,1,0,0,1,6,3,10,12,6.907755374908447
895,40,86,39,9,17,16,38,1,1,0,0,2,NA,NA,12,6.796823501586914
1205,40,86,32,10,13,0,32,1,1,0,1,5,5,8,NA,7.094234943389893
750,40,113,27,12,11,10,29,1,0,0,0,1,NA,12,12,6.620073318481445
654,50,111,51,13,5,16,38,1,0,0,1,3,3,12,9,6.483107566833496
601,48,111,30,12,15,3,33,1,0,0,1,0,1,12,12,6.398594856262207
600,40,106,32,13,10,11,28,1,0,0,1,6,NA,8,7,6.396929740905762
433,40,98,28,12,11,10,30,0,0,0,1,1,1,12,11,6.070737838745117
1188,40,105,28,12,11,7,30,1,0,0,1,3,1,12,10,7.080026626586914
635,40,105,29,12,15,15,33,1,0,0,0,2,2,10,NA,6.453625202178955
1225,40,118,44,13,9,14,32,1,0,0,1,0,1,12,9,7.110696315765381
1151,45,90,38,12,19,19,36,1,0,0,1,1,1,12,8,7.048386573791504
865,40,95,34,12,15,11,32,0,0,0,1,3,1,9,8,6.762729644775391
1031,40,112,24,14,9,5,29,1,0,0,1,4,2,12,12,6.938284397125244
1049,55,120,39,12,9,11,32,1,0,0,1,3,2,12,10,6.955592632293701
1000,45,123,41,12,12,1,29,1,0,0,1,3,3,12,10,6.907755374908447
1105,40,103,32,13,10,11,30,1,0,0,1,1,1,16,15,7.007600784301758
1924,50,121,40,18,11,7,35,1,0,0,1,3,1,16,18,7.562161445617676
1346,40,90,44,16,9,16,38,1,0,0,1,1,1,12,12,7.204892635345459
809,65,125,32,12,11,10,29,1,0,0,1,0,1,12,12,6.695798873901367
1495,45,109,34,18,10,3,32,1,0,0,1,3,1,9,8,7.309881687164307
1346,50,128,46,16,10,1,33,0,0,0,0,3,1,10,9,7.204892635345459
1200,40,97,35,12,10,4,31,1,0,0,1,3,1,12,12,7.090076923370361
500,40,96,35,12,6,0,33,1,0,1,1,4,4,12,12,6.214608192443848
1325,45,97,44,12,12,5,28,1,0,0,1,1,2,12,8,7.1891679763793945
900,40,78,21,12,16,5,33,1,1,0,1,4,1,7,6,6.802394866943359
800,40,112,39,12,15,3,34,1,0,0,1,6,4,7,NA,6.684611797332764
800,40,88,32,12,16,7,38,1,0,0,1,3,2,2,5,6.684611797332764
1034,40,97,39,12,15,16,36,1,0,0,1,14,10,14,11,6.941190242767334
980,40,101,41,12,4,12,36,1,0,0,1,1,NA,6,9,6.887552738189697
884,40,106,42,10,19,12,34,1,0,0,1,2,1,7,10,6.784457206726074
480,40,59,28,10,11,5,34,0,0,0,1,0,1,8,6,6.173786163330078
923,40,105,54,18,7,14,34,1,0,0,1,1,1,12,12,6.827629089355469
513,45,119,30,17,8,5,31,0,0,0,1,1,1,12,8,6.240275859832764
1105,40,93,36,11,17,16,37,0,0,0,1,2,2,8,8,7.007600784301758
1193,50,82,38,12,19,10,36,1,0,1,1,0,1,12,NA,7.084226608276367
2771,50,134,45,18,6,7,34,1,0,0,1,4,3,16,16,7.9269633293151855
779,40,84,29,12,9,6,30,1,0,0,1,0,1,8,12,6.658010959625244
950,60,98,36,11,13,6,31,1,0,0,1,2,1,12,12,6.856462001800537
1394,40,118,41,16,11,8,30,1,0,0,0,2,1,13,12,7.239932537078857
1495,45,113,50,17,13,9,33,1,0,0,1,3,3,12,8,7.309881687164307
650,40,100,18,12,4,3,28,1,0,0,1,6,2,9,11,6.476972579956055
670,40,93,27,13,9,5,29,1,0,0,1,2,NA,12,12,6.507277488708496
1126,40,119,30,16,5,8,32,1,0,0,1,1,1,12,10,7.026426792144775
450,64,67,19,12,11,1,33,0,1,0,1,6,1,11,4,6.10924768447876
1028,40,111,28,12,19,12,37,1,1,1,1,3,4,12,NA,6.935370445251465
2404,50,106,38,15,8,0,32,1,0,0,1,2,1,12,12,7.784889221191406
1899,40,127,49,18,9,14,36,0,0,0,1,0,1,10,NA,7.5490827560424805
757,40,113,35,16,10,9,33,1,0,0,1,2,1,12,12,6.629363059997559
1250,40,115,36,14,9,1,29,1,0,0,1,2,2,12,12,7.130898952484131
1162,48,102,40,16,8,11,31,1,0,0,1,3,2,12,NA,7.057898044586182
1025,40,85,29,15,9,13,29,1,1,0,1,6,1,14,12,6.932447910308838
1100,50,117,51,16,11,12,32,1,0,0,0,0,1,12,10,7.003065586090088
714,35,125,34,16,7,5,28,1,0,0,1,4,1,10,10,6.570882797241211
1318,35,118,47,16,16,17,37,1,0,0,0,1,1,8,12,7.183870792388916
1411,45,121,40,18,14,3,38,1,0,0,1,3,2,12,16,7.252053737640381
2162,40,115,51,17,4,4,38,1,0,0,1,1,1,12,12,7.678789138793945
1273,55,120,44,14,11,16,36,1,0,0,0,1,1,12,NA,7.149131774902344
1140,48,109,43,12,16,15,35,1,0,0,1,2,2,11,6,7.038783550262451
578,40,109,28,13,7,4,30,0,0,0,1,1,NA,12,11,6.359573841094971
942,40,85,36,12,7,10,38,1,0,0,1,4,5,NA,NA,6.848005294799805
1058,40,85,50,12,17,8,38,1,0,0,0,4,1,12,NA,6.964135646820068
750,40,106,32,14,9,9,29,1,0,0,1,1,2,11,10,6.620073318481445
1000,60,101,30,12,11,6,30,1,0,0,1,3,1,10,10,6.907755374908447
951,60,116,40,12,9,7,30,1,0,0,1,4,5,12,9,6.857513904571533
635,47,91,24,12,13,2,31,1,0,0,1,2,2,7,7,6.453625202178955
1250,40,91,28,12,13,1,34,1,0,0,1,3,1,11,5,7.130898952484131
675,40,110,34,12,6,15,34,1,0,0,1,2,1,7,NA,6.514712810516357
400,40,75,33,12,11,6,32,1,0,0,1,4,NA,7,12,5.991464614868164
577,50,94,17,12,9,8,29,1,0,0,1,2,NA,12,8,6.357842445373535
590,40,109,27,13,10,7,29,1,0,0,0,2,2,12,12,6.380122661590576
923,50,122,38,16,10,10,31,1,0,0,0,1,2,8,8,6.827629089355469
1250,50,102,26,12,6,2,32,0,0,0,1,4,2,11,8,7.130898952484131
1100,40,122,38,14,11,8,33,1,0,0,1,2,3,8,10,7.003065586090088
1130,50,105,38,12,18,2,37,1,0,0,1,4,2,10,10,7.029973030090332
652,50,113,37,12,14,4,36,0,0,0,1,1,2,9,9,6.480044364929199
618,42,104,34,12,6,2,30,1,0,0,1,3,2,8,12,6.426488399505615
962,50,124,43,16,7,14,34,1,0,0,1,2,2,9,11,6.869014263153076
529,40,110,31,13,14,11,32,1,0,0,0,1,1,12,8,6.270988464355469
817,40,95,37,12,16,14,33,1,0,0,0,2,1,12,12,6.705638885498047
962,40,120,39,16,8,9,32,1,0,0,0,0,1,18,NA,6.869014263153076
840,40,105,39,12,19,15,38,1,0,0,0,3,1,12,8,6.733401775360107
866,40,121,30,16,7,4,28,1,0,0,0,1,NA,12,12,6.763885021209717
2404,50,96,42,14,1,1,36,1,0,0,1,5,5,8,10,7.784889221191406
1126,40,110,26,12,16,2,32,1,0,0,1,6,1,9,12,7.026426792144775
1160,40,92,32,12,8,8,31,1,0,0,0,4,1,12,11,7.056175231933594
723,40,98,34,12,15,5,38,1,0,0,1,1,1,9,NA,6.583409309387207
1778,40,109,43,16,14,13,36,1,0,0,1,0,1,11,12,7.4832444190979
1903,48,118,44,18,13,5,36,1,0,0,0,0,1,11,11,7.551187038421631
1010,40,97,42,18,7,14,34,1,0,0,1,4,5,14,NA,6.917705535888672
971,40,95,42,17,5,11,37,1,0,0,1,1,2,16,8,6.878326416015625
525,40,99,40,12,9,2,34,1,0,0,1,2,1,10,8,6.263398170471191
525,40,106,31,12,12,13,30,1,0,0,0,1,1,10,12,6.263398170471191
670,45,117,33,12,10,3,30,1,0,0,0,5,2,12,NA,6.507277488708496
500,45,90,47,12,19,4,37,1,0,0,0,0,1,12,6,6.214608192443848
1058,45,98,45,14,14,15,34,1,0,0,0,2,3,NA,NA,6.964135646820068
550,46,95,44,12,18,15,35,1,0,0,1,1,1,12,11,6.309918403625488
500,45,115,43,12,14,1,32,1,0,0,1,1,2,12,11,6.214608192443848
727,55,106,40,15,10,5,31,0,0,0,1,1,NA,12,12,6.588926315307617
865,40,114,26,12,6,8,30,1,0,0,0,2,3,8,8,6.762729644775391
1081,40,92,34,13,8,2,30,1,0,1,1,3,4,12,10,6.985641956329346
1304,45,119,36,17,9,9,31,1,0,0,0,1,1,13,12,7.173191547393799
575,40,85,32,13,6,1,30,1,0,0,0,1,2,13,12,6.3543701171875
623,45,98,34,16,7,1,30,1,0,0,0,3,1,12,12,6.43454647064209
515,45,114,30,13,8,10,28,1,0,0,0,3,2,12,12,6.244166851043701
1273,55,84,42,18,14,4,37,1,0,0,1,1,1,8,12,7.149131774902344
990,40,108,42,13,13,9,33,1,0,0,0,4,1,16,16,6.897705078125
600,40,107,32,12,16,6,33,1,0,0,0,5,6,8,4,6.396929740905762
1160,40,84,35,12,17,2,38,1,0,0,0,4,2,16,12,7.056175231933594
500,55,86,22,12,11,9,29,1,0,0,0,5,5,10,12,6.214608192443848
795,45,88,27,12,17,18,35,1,0,0,0,2,2,10,12,6.678342342376709
500,50,97,34,11,20,3,37,1,0,0,0,2,1,NA,NA,6.214608192443848
740,50,84,31,10,23,13,38,1,0,0,0,5,1,NA,9,6.606650352478027
1250,40,117,45,16,10,7,33,1,0,0,1,1,1,12,14,7.130898952484131
1014,55,110,42,16,13,9,30,0,0,0,1,1,2,12,14,6.921658039093018
1250,32,104,32,13,13,3,33,1,0,0,1,3,3,9,NA,7.130898952484131
913,40,110,26,14,4,13,29,1,0,0,1,3,4,9,NA,6.816735744476318
1346,40,99,33,16,9,8,30,1,0,0,1,2,NA,11,12,7.204892635345459
445,40,80,31,10,19,0,38,1,0,0,0,5,5,NA,NA,6.098074436187744
265,40,101,43,12,18,2,37,1,0,0,1,1,2,NA,NA,5.579730033874512
1250,40,117,31,14,7,1,28,1,0,0,1,1,2,12,12,7.130898952484131
1607,56,108,41,13,7,9,36,1,0,0,1,2,1,NA,NA,7.382124423980713
1452,35,69,33,16,12,15,38,1,1,0,1,7,6,10,10,7.280697345733643
1391,50,109,38,12,14,8,32,1,1,1,1,1,2,11,9,7.237778186798096
821,45,85,39,16,8,2,32,1,0,0,1,5,6,8,8,6.7105231285095215
794,40,114,36,16,9,7,29,1,0,0,1,1,2,11,9,6.677083492279053
500,30,90,46,13,10,1,38,1,0,0,0,4,3,NA,NA,6.214608192443848
520,50,107,30,18,6,3,29,1,0,0,0,10,1,12,14,6.253829002380371
1730,50,117,41,18,12,12,37,1,0,0,1,1,2,12,8,7.45587682723999
1924,50,112,47,18,9,10,38,1,0,0,1,6,1,16,18,7.562161445617676
1155,60,106,46,18,10,2,37,1,0,0,1,3,3,14,18,7.051855564117432
2162,40,116,38,15,9,4,31,1,0,0,1,2,1,12,17,7.678789138793945
923,50,123,44,14,8,7,31,1,0,0,1,1,2,8,NA,6.827629089355469
1115,40,118,40,16,12,13,33,1,0,0,1,1,1,8,NA,7.0166096687316895
449,36,91,20,12,7,2,30,0,0,0,1,1,NA,NA,NA,6.107022762298584
1500,40,103,29,12,10,11,34,1,0,0,1,2,3,12,7,7.313220500946045
826,40,114,40,14,20,3,37,1,0,0,1,4,4,8,6,6.716594696044922
937,40,102,36,12,16,8,35,1,0,0,1,3,2,12,6,6.8426833152771
978,48,104,36,12,19,15,36,1,0,0,1,5,6,6,NA,6.885509490966797
1031,40,112,43,14,14,12,33,0,0,0,1,6,6,14,12,6.938284397125244
1272,40,107,39,12,10,1,30,1,0,0,1,4,3,12,12,7.148345947265625
1136,50,117,36,14,16,12,34,1,0,1,1,2,3,12,12,7.035268783569336
800,45,110,36,12,19,12,36,1,0,0,1,7,8,NA,NA,6.684611797332764
1339,38,96,42,12,8,9,33,1,0,0,1,0,1,12,11,7.199678421020508
1063,40,90,38,12,14,12,32,1,1,0,1,2,2,8,12,6.968850612640381
935,44,97,27,12,10,6,29,1,0,0,1,2,2,8,7,6.840546607971191
808,40,99,40,12,18,13,38,1,1,0,1,0,1,9,8,6.694561958312988
375,40,99,29,10,12,2,30,1,0,1,0,3,2,8,5,5.926926136016846
537,40,97,32,12,14,8,31,0,1,0,1,2,1,11,NA,6.2859978675842285
1082,55,95,40,12,11,4,29,1,1,0,1,2,2,11,NA,6.986566543579102
930,40,126,44,14,10,1,31,0,0,0,1,3,NA,8,NA,6.835184574127197
1155,40,109,49,17,13,4,38,1,0,0,0,3,3,12,8,7.051855564117432
548,40,86,22,11,7,0,33,1,1,0,1,5,2,11,NA,6.306275367736816
622,45,119,48,16,12,1,33,1,0,0,1,0,1,12,12,6.4329400062561035
841,40,102,38,16,10,1,29,1,0,0,1,3,1,12,12,6.734591484069824
769,55,105,45,18,7,15,38,0,0,0,1,2,3,9,5,6.6450910568237305
587,38,117,40,17,8,5,29,1,0,0,0,3,3,12,NA,6.375024795532227
1924,45,112,40,16,17,18,38,1,0,0,1,1,1,12,12,7.562161445617676
1058,40,89,28,12,7,3,29,1,0,0,1,2,NA,8,6,6.964135646820068
417,48,131,39,12,7,1,28,0,0,0,1,1,2,12,6,6.03308629989624
1202,48,114,28,16,6,6,28,1,0,0,1,3,3,16,16,7.091742038726807
1154,40,98,35,14,18,2,37,1,0,0,1,1,NA,10,14,7.050989627838135
1070,40,124,41,13,4,9,32,1,0,0,1,0,1,NA,NA,6.975413799285889
1202,40,125,30,14,10,11,29,1,0,0,1,2,3,12,12,7.091742038726807
711,45,100,38,18,13,3,36,1,0,0,1,1,NA,10,16,6.566672325134277
1202,40,84,21,14,6,5,31,1,1,0,1,2,1,11,9,7.091742038726807
850,43,113,26,12,7,3,28,1,0,0,1,1,2,8,12,6.745236396789551
1000,40,102,46,16,13,11,35,1,0,0,1,6,2,10,12,6.907755374908447
490,49,82,33,18,7,8,31,0,0,0,1,2,NA,12,9,6.194405555725098
1000,40,112,47,14,15,4,35,1,0,0,1,4,1,12,10,6.907755374908447
865,40,111,38,16,11,4,31,1,0,1,1,4,5,8,5,6.762729644775391
1375,40,96,24,13,3,3,30,1,0,0,1,3,1,11,8,7.2262091636657715
1586,40,127,48,16,16,12,37,1,0,0,1,4,4,16,16,7.3689703941345215
1602,65,97,47,15,14,14,37,1,0,0,1,1,1,8,NA,7.3790082931518555
3078,65,120,50,14,12,13,36,1,0,1,1,1,2,12,NA,8.032034873962402
898,40,101,41,16,7,9,35,0,0,0,1,3,4,16,14,6.800169944763184
906,40,120,40,14,16,2,37,1,0,0,1,5,1,12,12,6.809039115905762
952,40,99,34,13,10,10,31,1,1,0,1,1,1,8,10,6.858564853668213
571,40,78,33,13,10,1,29,0,1,0,1,5,5,8,9,6.347389221191406
445,45,110,23,12,15,13,32,0,0,0,1,2,2,5,11,6.098074436187744
289,40,94,35,12,9,0,30,1,0,0,1,2,3,5,11,5.666426658630371
1444,40,120,50,16,12,15,37,1,0,0,1,1,2,17,13,7.275172233581543
962,55,108,45,12,19,21,36,1,0,0,1,3,1,8,8,6.869014263153076
1075,40,103,31,12,17,10,33,1,0,0,1,13,3,11,11,6.980075836181641
909,55,97,39,11,17,5,35,1,0,0,1,7,3,NA,NA,6.812345027923584
1250,40,106,36,12,14,19,35,1,0,0,1,4,1,11,13,7.130898952484131
620,40,99,22,11,10,5,29,1,1,0,1,11,5,NA,NA,6.4297194480896
1016,40,72,18,10,14,15,37,1,1,0,1,8,9,11,NA,6.923628807067871
800,40,88,29,10,21,14,37,1,1,0,1,8,1,11,8,6.684611797332764
1050,40,119,37,16,7,18,37,0,0,0,1,2,2,12,13,6.956545352935791
1079,50,87,33,12,18,9,36,1,0,0,1,5,5,8,NA,6.983789920806885
654,50,121,49,17,12,13,34,1,0,0,1,1,2,11,12,6.483107566833496
781,50,112,33,12,8,10,30,1,0,0,1,2,2,12,8,6.660574913024902
1038,48,103,36,15,8,2,36,1,0,1,0,2,1,12,15,6.945051193237305
1924,50,99,48,16,16,14,37,1,0,0,1,0,1,16,18,7.562161445617676
1202,40,101,40,15,15,17,37,1,0,0,1,3,2,12,12,7.091742038726807
666,70,117,34,15,8,2,32,1,0,0,1,0,1,NA,NA,6.5012898445129395
905,45,109,41,14,11,14,36,1,0,0,1,3,4,8,8,6.807934761047363
890,70,73,46,12,6,8,31,1,0,0,1,3,1,12,12,6.791221618652344
817,40,116,27,16,10,7,31,1,0,1,0,1,2,16,16,6.705638885498047
812,40,98,42,12,10,2,29,0,0,0,1,3,2,12,12,6.699500560760498
577,60,104,43,14,6,2,30,1,0,1,1,2,3,14,12,6.357842445373535
756,40,78,29,14,9,2,31,1,0,0,1,2,2,12,12,6.6280412673950195
1011,40,104,43,12,20,7,37,1,0,1,1,0,1,NA,NA,6.918695449829102
1155,45,85,39,12,14,1,34,1,0,0,1,2,1,12,12,7.051855564117432
1025,40,104,25,12,12,7,29,1,0,0,1,3,4,12,10,6.932447910308838
1350,40,107,37,12,17,12,35,1,0,0,0,2,3,NA,NA,7.207859992980957
1001,40,109,48,12,20,22,37,1,0,0,1,1,1,8,10,6.908754825592041
796,48,119,31,13,16,15,37,1,1,0,1,7,1,11,NA,6.679599285125732
1230,50,96,33,13,11,12,30,1,0,0,1,3,2,10,11,7.114769458770752
754,40,93,31,12,13,1,30,1,0,0,1,5,NA,NA,NA,6.625392436981201
714,40,90,32,12,17,1,37,1,0,0,0,5,3,12,12,6.570882797241211
1000,45,103,29,15,8,3,32,1,0,0,1,3,4,12,NA,6.907755374908447
2067,40,106,41,16,12,13,33,1,0,1,1,2,1,14,12,7.633853435516357
912,40,96,32,16,11,5,30,1,0,0,1,2,2,14,12,6.815639972686768
600,40,114,39,12,8,5,30,1,0,1,1,6,3,8,8,6.396929740905762
951,40,86,33,11,13,1,31,1,0,0,1,3,4,9,NA,6.857513904571533
711,45,110,38,16,8,5,32,1,0,1,1,3,2,13,12,6.566672325134277
1151,48,87,41,12,18,9,38,1,0,0,1,2,1,12,12,7.048386573791504
1000,40,89,31,12,9,5,28,1,0,0,1,2,3,13,12,6.907755374908447
841,44,106,40,12,15,10,31,1,0,0,1,5,6,8,NA,6.734591484069824
400,70,100,43,12,12,3,32,1,0,0,1,3,2,5,8,5.991464614868164
1175,45,111,38,12,17,14,34,1,0,0,1,0,1,16,4,7.069023609161377
1202,40,100,40,12,18,2,37,1,0,0,1,0,1,12,12,7.091742038726807
1442,40,114,38,12,16,17,33,1,0,0,1,2,3,12,10,7.273786544799805
538,55,98,45,18,5,1,34,1,0,0,1,2,2,13,NA,6.287858486175537
781,40,89,24,11,13,10,30,1,0,0,1,3,1,9,8,6.660574913024902
750,60,74,23,10,13,9,30,1,0,0,1,4,2,11,9,6.620073318481445
841,48,110,37,18,13,1,37,0,1,0,1,1,1,12,12,6.734591484069824
