wave,timestamp,teacher,id_in_class,treatment,math_feeling,good_at_math,math_easy_hard,math_stressed,survey_stressed,math_anxiety
1,2019/01/30 8:13:53 PM MST,Teacher 4,24,Normal story,:|,I'm good at math,Math is fine.,No,No,No
1,2019/01/30 8:14:54 PM MST,Teacher 4,25,Normal story,:),I'm okay,Math is easy.,No,NA,No
1,2019/01/30 8:18:11 PM MST,Teacher 4,26,Normal story,:|,I'm okay,Math is hard.,Yes,No,Yes
1,2019/01/30 8:18:44 PM MST,Teacher 4,27,Normal story,:),I'm good at math,Math is fine.,No,No,No
1,2019/01/30 8:20:31 PM MST,Teacher 4,29,Normal story,:),I'm good at math,Math is fine.,No,No,No
1,2019/01/30 8:21:47 PM MST,Teacher 4,30,Normal story,:|,I'm good at math,Math is fine.,No,No,No
1,2019/01/30 8:23:37 PM MST,Teacher 4,31,Normal story,:|,I'm okay,Math is fine.,No,NA,No
1,2019/01/31 3:57:35 PM MST,Teacher 4,39,Normal story,:(,I'm okay,Math is fine.,Yes,No,Yes
1,2019/01/31 3:58:50 PM MST,Teacher 2,41,Math story,:|,Not good,Math is hard.,Yes,Yes,Yes
1,2019/01/31 3:59:47 PM MST,Teacher 2,41,Math story,:|,"Not just good, I'm great!",Math is easy.,No,No,No
1,2019/01/31 4:00:52 PM MST,Teacher 2,41,Math story,:),I'm okay,Math is fine.,No,No,No
1,2019/01/31 4:03:19 PM MST,Teacher 2,41,Math story,:|,"Not just good, I'm great!",Math is fine.,sometimes,Yes,Yes
1,2019/01/31 4:03:53 PM MST,Teacher 2,41,Math story,:),"Not just good, I'm great!",Math is easy.,No,No,No
1,2019/01/31 4:04:54 PM MST,Teacher 2,41,Math story,:|,I'm okay,Math is fine.,Yes,No,Yes
1,2019/01/31 4:05:48 PM MST,Teacher 2,41,Math story,:(,I'm okay,Math is hard.,Yes,No,Yes
1,2019/01/31 4:06:26 PM MST,Teacher 2,41,Math story,:(,Not good,Math is hard.,Yes,No,Yes
1,2019/01/31 4:07:07 PM MST,Teacher 2,41,Math story,:),I'm okay,Math is fine.,sometimes,No,Yes
1,2019/01/31 4:07:41 PM MST,Teacher 2,41,Math story,:|,I'm okay,Math is fine.,Yes,No,Yes
1,2019/01/31 4:08:24 PM MST,Teacher 2,41,Math story,:(,Not good,Math is hard.,Yes,Yes,Yes
1,2019/01/31 4:15:16 PM MST,Teacher 2,41,Math story,:|,I'm good at math,Math is fine.,Yes,Yes,Yes
1,2019/01/31 4:16:18 PM MST,Teacher 2,41,Math story,:(,"Not just good, I'm great!",Math is easy.,Yes,No,Yes
1,2019/01/31 4:22:01 PM MST,Teacher 2,41,Math story,:|,I'm okay,Math is fine.,Yes,No,Yes
1,2019/01/31 4:23:37 PM MST,Teacher 2,41,Math story,:(,I'm good at math,Math is fine.,NA,Yes,NA
1,2019/01/31 4:24:30 PM MST,Teacher 2,41,Math story,:|,I'm good at math,Math is fine.,Yes,No,Yes
1,2019/01/31 4:25:16 PM MST,Teacher 2,41,Math story,:),"Not just good, I'm great!",Math is fine.,No,No,No
1,2019/01/31 4:25:58 PM MST,Teacher 2,41,Math story,:|,I'm okay,Math is hard.,Yes,No,Yes
1,2019/01/31 4:26:52 PM MST,Teacher 2,41,Math story,:|,I'm okay,Math is fine.,No,No,No
1,2019/01/31 4:27:31 PM MST,Teacher 2,41,Math story,:),I'm okay,Math is fine.,No,No,No
1,2019/01/31 4:28:38 PM MST,Teacher 2,41,Math story,:),I'm good at math,Math is fine.,No,No,No
1,2019/01/31 4:29:29 PM MST,Teacher 2,41,Math story,:),I'm good at math,Math is easy.,sometimes,No,Yes
1,2019/01/31 4:30:06 PM MST,Teacher 2,41,Math story,:),"Not just good, I'm great!",Math is easy.,No,No,No
1,2019/01/31 4:30:40 PM MST,Teacher 2,41,Math story,:|,I'm good at math,Math is fine.,Yes,No,Yes
1,2019/01/31 4:31:10 PM MST,Teacher 2,41,Math story,:),I'm good at math,Math is easy.,No,No,No
1,2019/01/31 4:31:55 PM MST,Teacher 2,41,Math story,:|,I'm okay,Math is hard.,Yes,Yes,Yes
1,2019/01/31 4:33:03 PM MST,Teacher 2,41,Math story,:(,I'm okay,Math is fine.,Yes,No,Yes
1,2019/01/31 4:50:54 PM MST,Teacher 3,44,Normal story,:|,I'm good at math,Math is fine.,No,No,No
1,2019/01/31 4:51:39 PM MST,Teacher 3,44,Normal story,:|,I'm okay,Math is hard.,Yes,No,Yes
1,2019/01/31 4:52:39 PM MST,Teacher 3,44,Normal story,:|,I'm okay,Math is fine.,No,No,No
1,2019/01/31 4:53:41 PM MST,Teacher 3,44,Normal story,:|,I'm okay,Math is fine.,Yes,No,Yes
1,2019/01/31 4:54:19 PM MST,Teacher 3,44,Normal story,:|,I'm okay,Math is fine.,Yes,No,Yes
1,2019/01/31 4:55:08 PM MST,Teacher 3,44,Normal story,:|,I'm good at math,Math is fine.,No,No,No
1,2019/01/31 4:56:03 PM MST,Teacher 3,44,Normal story,:),I'm good at math,Math is fine.,No,No,No
1,2019/01/31 4:56:54 PM MST,Teacher 3,44,Normal story,:|,I'm okay,Math is fine.,No,No,No
1,2019/01/31 4:58:01 PM MST,Teacher 3,44,Normal story,:|,I'm okay,Math is fine.,Yes,Yes,Yes
1,2019/01/31 4:58:36 PM MST,Teacher 3,44,Normal story,:),"Not just good, I'm great!",Math is easy.,No,No,No
1,2019/01/31 4:59:15 PM MST,Teacher 3,44,Normal story,:|,I'm good at math,Math is fine.,No,No,No
1,2019/01/31 5:01:28 PM MST,Teacher 3,44,Normal story,:|,I'm okay,Math is hard.,Yes,Yes,Yes
1,2019/01/31 5:01:58 PM MST,Teacher 3,44,Normal story,:(,"Not just good, I'm great!",Math is easy.,No,No,No
1,2019/01/31 5:40:20 PM MST,Teacher 3,44,Normal story,:|,I'm good at math,Math is fine.,No,No,No
1,2019/01/31 5:41:18 PM MST,Teacher 3,44,Normal story,:|,I'm good at math,Math is fine.,No,No,No
1,2019/01/31 5:41:47 PM MST,Teacher 3,44,Normal story,:(,I'm good at math,Math is easy.,No,No,No
1,2019/01/31 5:44:15 PM MST,Teacher 3,44,Normal story,:|,I'm good at math,Math is fine.,No,No,No
1,2019/01/31 5:48:51 PM MST,Teacher 3,NA,Normal story,:|,I'm good at math,Math is fine.,No,No,No
1,2019/01/31 5:50:49 PM MST,Teacher 3,44,Normal story,:),"Not just good, I'm great!",Math is easy.,No,No,No
1,2019/01/31 5:53:20 PM MST,Teacher 3,44,Normal story,:|,I'm okay,Math is hard.,NA,NA,NA
1,2019/01/31 5:53:57 PM MST,Teacher 3,44,Normal story,:(,I'm good at math,Math is fine.,No,Yes,No
1,2019/01/31 5:55:05 PM MST,Teacher 3,44,Normal story,:|,"Not just good, I'm great!",Math is easy.,No,No,No
1,2019/01/31 5:55:44 PM MST,Teacher 3,44,Normal story,:(,"Not just good, I'm great!",Math is easy.,No,No,No
2,2019/02/02 2:09:58 PM MST,Teacher 3,13,Normal story,:),I'm good at math,Math is easy.,No,No,No
2,2019/02/02 2:10:19 PM MST,Teacher 3,18,Normal story,:|,I'm good at math,Math is fine.,No,No,No
2,2019/02/02 2:10:39 PM MST,Teacher 3,11,Normal story,:|,I'm good at math,Math is fine.,No,No,No
2,2019/02/02 2:11:00 PM MST,Teacher 3,22,Normal story,:|,I'm okay,Math is hard.,Yes,No,Yes
2,2019/02/02 2:11:20 PM MST,Teacher 3,5,Normal story,:|,I'm okay,Math is hard.,Yes,No,Yes
2,2019/02/02 2:11:41 PM MST,Teacher 3,6,Normal story,:|,I'm good at math,Math is fine.,No,No,No
2,2019/02/02 2:12:13 PM MST,Teacher 3,17,Normal story,:|,I'm okay,Math is hard.,sometimes,kind of,Yes
2,2019/02/02 2:12:31 PM MST,Teacher 3,3,Normal story,:|,I'm okay,Math is fine.,Yes,No,Yes
2,2019/02/02 2:12:52 PM MST,Teacher 3,27,Normal story,:|,I'm good at math,Math is fine.,No,No,No
2,2019/02/02 2:13:19 PM MST,Teacher 3,23,Normal story,:|,I'm okay,Math is hard.,Yes,Yes,Yes
2,2019/02/02 2:13:43 PM MST,Teacher 3,9,Normal story,:|,I'm okay,Math is hard.,Yes,Yes,Yes
2,2019/02/02 2:14:08 PM MST,Teacher 3,14,Normal story,:|,I'm okay,Math is fine.,No,No,No
2,2019/02/02 2:14:28 PM MST,Teacher 3,29,Normal story,:|,I'm good at math,Math is fine.,No,No,No
2,2019/02/02 2:14:50 PM MST,Teacher 3,12,Normal story,:),"Not just good, I'm great!",Math is easy.,No,No,No
2,2019/02/02 2:15:08 PM MST,Teacher 3,2,Normal story,:|,I'm okay,Math is fine.,No,No,No
2,2019/02/02 2:15:31 PM MST,Teacher 3,19,Normal story,:),"Not just good, I'm great!",Math is fine.,No,No,No
2,2019/02/02 2:15:53 PM MST,Teacher 3,21,Normal story,:|,I'm good at math,Math is fine.,No,No,No
2,2019/02/02 2:16:31 PM MST,Teacher 3,10,Normal story,:|,I'm okay,NA,No,No,No
2,2019/02/02 2:16:52 PM MST,Teacher 3,7,Normal story,:|,I'm good at math,Math is easy.,No,No,No
2,2019/02/02 2:17:16 PM MST,Teacher 3,4,Normal story,:|,I'm good at math,Math is fine.,NA,No,NA
2,2019/02/02 2:17:40 PM MST,Teacher 3,8,Normal story,:(,"Not just good, I'm great!",Math is easy.,No,No,No
2,2019/02/02 2:18:01 PM MST,Teacher 3,26,Normal story,:),"Not just good, I'm great!",Math is easy.,No,No,No
2,2019/02/02 2:18:21 PM MST,Teacher 3,28,Normal story,:),"Not just good, I'm great!",Math is easy.,No,No,No
2,2019/02/02 2:18:42 PM MST,Teacher 3,24,Normal story,:(,I'm good at math,Math is easy.,No,No,No
2,2019/02/02 2:19:02 PM MST,Teacher 3,15,Normal story,:(,I'm good at math,Math is easy.,No,No,No
2,2019/02/02 2:19:20 PM MST,Teacher 3,20,Normal story,:|,I'm good at math,Math is fine.,No,No,No
2,2019/02/02 2:19:39 PM MST,Teacher 3,1,Normal story,:(,"Not just good, I'm great!",Math is easy.,No,No,No
2,2019/02/02 2:20:05 PM MST,Teacher 3,21,Normal story,:(,I'm okay,Math is hard.,Yes,No,Yes
2,2019/02/02 2:20:33 PM MST,Teacher 4,15,Normal story,:),I'm good at math,Math is easy.,No,No,No
2,2019/02/02 2:21:35 PM MST,Teacher 4,13,Normal story,:),I'm good at math,Math is fine.,No,No,No
2,2019/02/02 2:21:53 PM MST,Teacher 4,17,Normal story,:),I'm good at math,Math is fine.,No,No,No
2,2019/02/02 2:22:17 PM MST,Teacher 4,6,Normal story,:),"Not just good, I'm great!",Math is easy.,No,No,No
2,2019/02/02 2:22:42 PM MST,Teacher 4,18,Normal story,:(,I'm okay,Math is fine.,Yes,No,Yes
2,2019/02/02 2:23:04 PM MST,Teacher 4,7,Normal story,:|,I'm okay,Math is fine.,Yes,Yes,Yes
2,2019/02/02 2:23:26 PM MST,Teacher 4,16,Normal story,:(,I'm okay,Math is fine.,Yes,No,Yes
2,2019/02/02 2:23:51 PM MST,Teacher 4,2,Normal story,:|,I'm okay,Math is fine.,No,No,No
2,2019/02/02 2:38:06 PM MST,Teacher 4,30,Normal story,NA,NA,NA,NA,NA,NA
2,2019/02/02 2:38:24 PM MST,Teacher 4,22,Normal story,:|,I'm good at math,Math is easy.,No,No,No
2,2019/02/02 2:38:50 PM MST,Teacher 4,23,Normal story,:(,I'm okay,Math is hard.,Yes,Yes,Yes
2,2019/02/02 2:39:31 PM MST,Teacher 4,5,Normal story,:|,I'm okay,Math is fine.,Yes,No,Yes
2,2019/02/02 2:39:51 PM MST,Teacher 4,24,Normal story,:|,I'm good at math,Math is fine.,No,No,No
2,2019/02/02 2:40:09 PM MST,Teacher 4,27,Normal story,:|,I'm okay,Math is fine.,No,Yes,No
2,2019/02/02 2:40:27 PM MST,Teacher 4,11,Normal story,:|,I'm okay,Math is fine.,No,No,No
2,2019/02/02 2:40:52 PM MST,Teacher 4,10,Normal story,:),I'm good at math,Math is fine.,No,No,No
2,2019/02/02 2:41:12 PM MST,Teacher 4,25,Normal story,:),I'm okay,Math is fine.,No,No,No
2,2019/02/02 2:41:33 PM MST,Teacher 4,26,Normal story,:|,Not good,Math is hard.,Yes,No,Yes
2,2019/02/02 2:41:51 PM MST,Teacher 4,4,Normal story,:|,I'm okay,Math is fine.,Yes,No,Yes
2,2019/02/02 2:42:28 PM MST,Teacher 4,1,Normal story,:),"Not just good, I'm great!",Math is easy.,No,No,No
2,2019/02/02 2:42:59 PM MST,Teacher 4,19,Normal story,:),I'm good at math,Math is fine.,No,No,No
2,2019/02/02 2:43:18 PM MST,Teacher 4,28,Normal story,:),"Not just good, I'm great!",Math is easy.,No,No,No
2,2019/02/02 2:43:39 PM MST,Teacher 4,29,Normal story,:),I'm okay,Math is fine.,No,No,No
2,2019/02/02 2:43:58 PM MST,Teacher 4,3,Normal story,:),"Not just good, I'm great!",Math is easy.,Yes,No,Yes
2,2019/02/02 2:44:13 PM MST,Teacher 4,14,Normal story,:|,I'm okay,Math is fine.,No,No,No
2,2019/02/02 2:44:30 PM MST,Teacher 4,20,Normal story,:),"Not just good, I'm great!",Math is easy.,No,No,No
2,2019/02/02 2:44:48 PM MST,Teacher 4,8,Normal story,:),I'm good at math,Math is easy.,No,No,No
2,2019/02/02 2:51:18 PM MST,Teacher 1,4,Math story,:),"Not just good, I'm great!",Math is easy.,No,No,No
2,2019/02/02 2:51:39 PM MST,Teacher 1,30,Math story,:),I'm good at math,Math is easy.,No,No,No
2,2019/02/02 2:52:35 PM MST,Teacher 1,8,Math story,:(,I'm good at math,Math is fine.,No,No,No
2,2019/02/02 2:53:04 PM MST,Teacher 1,16,Math story,:|,I'm good at math,Math is easy.,No,No,No
2,2019/02/02 2:53:32 PM MST,Teacher 1,27,Math story,:|,I'm good at math,Math is fine.,No,No,No
2,2019/02/02 2:53:55 PM MST,Teacher 1,14,Math story,:|,I'm okay,Math is fine.,Yes,Yes,Yes
2,2019/02/02 2:54:12 PM MST,Teacher 1,26,Math story,:),I'm good at math,Math is easy.,No,No,No
2,2019/02/02 2:54:32 PM MST,Teacher 1,31,Math story,:|,I'm okay,Math is fine.,Yes,No,Yes
2,2019/02/02 2:54:54 PM MST,Teacher 1,13,Math story,:),I'm good at math,Math is fine.,No,No,No
2,2019/02/02 2:55:21 PM MST,Teacher 1,21,Math story,:|,I'm okay,Math is fine.,NA,No,NA
2,2019/02/02 2:55:39 PM MST,Teacher 1,23,Math story,:),I'm good at math,Math is easy.,No,No,No
2,2019/02/02 2:55:56 PM MST,Teacher 1,11,Math story,:),I'm good at math,Math is fine.,No,No,No
2,2019/02/02 2:56:11 PM MST,Teacher 1,6,Math story,:),"Not just good, I'm great!",Math is easy.,No,No,No
2,2019/02/02 2:56:30 PM MST,Teacher 1,25,Math story,:),I'm good at math,Math is easy.,Yes,No,Yes
2,2019/02/02 2:56:50 PM MST,Teacher 1,2,Math story,:|,I'm good at math,Math is fine.,No,No,No
2,2019/02/02 2:57:04 PM MST,Teacher 1,18,Math story,:|,I'm okay,Math is hard.,No,No,No
2,2019/02/02 2:57:20 PM MST,Teacher 1,7,Math story,:|,"Not just good, I'm great!",Math is fine.,No,No,No
2,2019/02/02 2:57:35 PM MST,Teacher 1,19,Math story,:),"Not just good, I'm great!",Math is easy.,No,No,No
2,2019/02/02 2:57:53 PM MST,Teacher 1,24,Math story,:(,I'm okay,Math is hard.,Yes,No,Yes
2,2019/02/02 2:58:09 PM MST,Teacher 1,15,Math story,:),I'm good at math,Math is fine.,No,No,No
2,2019/02/02 2:58:27 PM MST,Teacher 1,10,Math story,:|,I'm good at math,Math is fine.,No,No,No
2,2019/02/02 2:58:42 PM MST,Teacher 1,22,Math story,:|,I'm okay,Math is fine.,Yes,No,Yes
2,2019/02/02 2:59:00 PM MST,Teacher 1,3,Math story,:),I'm good at math,Math is fine.,No,Yes,No
2,2019/02/02 2:59:50 PM MST,Teacher 1,1,Math story,:),"Not just good, I'm great!",Math is easy.,No,No,No
2,2019/02/02 3:00:04 PM MST,Teacher 1,20,Math story,:),I'm good at math,Math is fine.,No,No,No
2,2019/02/02 3:00:21 PM MST,Teacher 1,29,Math story,:),"Not just good, I'm great!",Math is easy.,No,No,No
2,2019/02/02 3:01:01 PM MST,Teacher 1,12,Math story,:),I'm good at math,Math is fine.,No,No,No
2,2019/02/02 3:01:22 PM MST,Teacher 1,5,Math story,:),"Not just good, I'm great!",Math is easy.,Yes,No,Yes
2,2019/02/02 3:01:58 PM MST,Teacher 2,NA,Math story,:),I'm good at math,Math is fine.,sometimes,No,Yes
2,2019/02/02 3:02:28 PM MST,Teacher 2,NA,Math story,:(,I'm okay,Math is hard.,Yes,No,Yes
2,2019/02/02 3:03:05 PM MST,Teacher 2,NA,Math story,:),"Not just good, I'm great!",Math is easy.,No,No,No
2,2019/02/02 3:03:22 PM MST,Teacher 2,NA,Math story,:|,I'm okay,Math is fine.,No,No,No
2,2019/02/02 3:03:38 PM MST,Teacher 2,NA,Math story,:),"Not just good, I'm great!",Math is fine.,No,No,No
2,2019/02/02 3:03:56 PM MST,Teacher 2,NA,Math story,:),I'm good at math,Math is fine.,No,No,No
2,2019/02/02 3:04:11 PM MST,Teacher 2,NA,Math story,:|,I'm okay,Math is fine.,No,No,No
2,2019/02/02 3:04:26 PM MST,Teacher 2,NA,Math story,:|,I'm good at math,Math is fine.,Yes,Yes,Yes
2,2019/02/02 3:04:46 PM MST,Teacher 2,NA,Math story,:),"Not just good, I'm great!",Math is fine.,No,No,No
2,2019/02/02 3:05:14 PM MST,Teacher 2,NA,Math story,:(,Not good,Math is hard.,Yes,Yes,Yes
2,2019/02/02 3:05:37 PM MST,Teacher 2,NA,Math story,:),I'm good at math,Math is fine.,sometimes,No,Yes
2,2019/02/02 3:06:11 PM MST,Teacher 2,NA,Math story,:),"Not just good, I'm great!",Math is easy.,No,No,No
2,2019/02/02 3:06:51 PM MST,Teacher 2,NA,Math story,:|,I'm okay,Math is fine.,NA,No,NA
2,2019/02/02 3:07:10 PM MST,Teacher 2,NA,Math story,:|,"Not just good, I'm great!",Math is easy.,No,No,No
2,2019/02/02 3:07:50 PM MST,Teacher 2,NA,Math story,:),I'm good at math,Math is easy.,No,No,No
2,2019/02/02 3:08:40 PM MST,Teacher 2,NA,Math story,:|,I'm okay,Math is hard.,Yes,No,Yes
2,2019/02/02 3:08:58 PM MST,Teacher 2,NA,Math story,:|,I'm okay,Math is fine.,Yes,No,Yes
2,2019/02/02 3:09:26 PM MST,Teacher 2,NA,Math story,:|,I'm good at math,Math is fine.,sometimes,No,Yes
2,2019/02/02 3:09:48 PM MST,Teacher 2,NA,Math story,:|,I'm okay,Math is fine.,No,No,No
2,2019/02/02 3:10:15 PM MST,Teacher 2,NA,Math story,:(,"Not just good, I'm great!",Math is fine.,Yes,No,Yes
2,2019/02/02 3:10:33 PM MST,Teacher 2,NA,Math story,:|,I'm okay,Math is fine.,Yes,No,Yes
2,2019/02/02 3:10:49 PM MST,Teacher 2,NA,Math story,:(,I'm okay,Math is hard.,Yes,No,Yes
2,2019/02/02 3:11:17 PM MST,Teacher 2,NA,Math story,:|,I'm good at math,Math is fine.,sometimes,Yes,Yes
2,2019/02/02 3:11:35 PM MST,Teacher 2,NA,Math story,:),I'm okay,Math is fine.,No,No,No
2,2019/02/02 3:11:54 PM MST,Teacher 2,NA,Math story,:(,Not good,Math is hard.,Yes,No,Yes
