id,entrance_exam,exit_exam,tutoring
81,73.2,70.5,FALSE
82,35.1,47.3,TRUE
83,55.9,61.3,TRUE
84,85,62.2,FALSE
85,91.8,74,FALSE
86,56.7,48.5,TRUE
87,70,71.1,TRUE
88,84.8,66.4,FALSE
89,76.7,64.2,FALSE
90,85.1,60.4,FALSE
91,74.9,68,FALSE
92,89.6,68.2,FALSE
93,74.8,57.6,FALSE
94,71.2,69,FALSE
95,78.6,62.5,FALSE
96,80.9,69.8,FALSE
97,86.9,55.9,FALSE
98,91.6,64.9,FALSE
99,59.9,75.7,TRUE
100,77.4,55.9,FALSE
101,60.4,63.5,TRUE
102,92.7,75.5,FALSE
103,74.8,65.1,FALSE
104,64.3,75.7,TRUE
105,78.2,61,FALSE
106,80.8,75.8,FALSE
107,88.4,70.3,FALSE
108,62.4,62.5,TRUE
109,76.4,62.5,FALSE
110,86.7,61.1,FALSE
111,94.6,71.9,FALSE
112,86.8,74.5,FALSE
113,73.8,48.4,FALSE
114,55.6,73.1,TRUE
115,73.2,69,FALSE
116,92.1,77.4,FALSE
117,64.4,77,TRUE
118,95.5,59.7,FALSE
119,83.3,57.8,FALSE
120,82.6,54.3,FALSE
121,97,78,FALSE
122,58.1,63.4,TRUE
123,86.6,59.2,FALSE
124,82.9,61.8,FALSE
125,65.1,66.3,TRUE
126,79.5,72.7,FALSE
127,67.9,66.5,TRUE
128,70.3,61.5,FALSE
129,72.8,66.2,FALSE
130,68.1,74.1,TRUE
131,71.4,58.8,FALSE
132,83.5,62.5,FALSE
133,76.1,54,FALSE
134,75.7,59.9,FALSE
135,81.5,62.1,FALSE
136,91.1,74.2,FALSE
137,89.3,68.8,FALSE
138,83.7,61.3,FALSE
139,89.1,82.1,FALSE
140,81.8,66.6,FALSE
141,84,66.7,FALSE
142,80.7,67.2,FALSE
143,70.2,59.7,FALSE
144,65.4,79.6,TRUE
145,35.9,50.1,TRUE
146,78.9,64.4,FALSE
147,82.7,70,FALSE
148,77,66.6,FALSE
149,82.9,65.5,FALSE
150,96.4,73.8,FALSE
151,44.1,61.5,TRUE
152,89,66.9,FALSE
153,91.7,65,FALSE
154,73.6,54.8,FALSE
155,78.3,56,FALSE
156,99.1,67.8,FALSE
157,79.4,67.3,FALSE
158,70,70.2,TRUE
159,58.3,53.3,TRUE
160,51.3,55.6,TRUE
161,85.2,64.8,FALSE
162,63.5,55.6,TRUE
163,80.9,70,FALSE
164,85.6,67.6,FALSE
165,99.3,76.6,FALSE
166,88.5,68.2,FALSE
167,68.5,70.4,TRUE
168,68.2,58.4,TRUE
169,65.5,66.7,TRUE
170,90.3,69.6,FALSE
171,74.9,67.4,FALSE
172,97.5,76.9,FALSE
173,68.5,79.3,TRUE
174,63.7,63.5,TRUE
175,74.5,55.1,FALSE
176,63.6,63.5,TRUE
177,72.1,58.4,FALSE
178,62.2,64.5,TRUE
179,52.9,60.9,TRUE
180,77.2,49.2,FALSE
181,91.6,68.1,FALSE
182,69.9,57.7,TRUE
183,83.8,63.2,FALSE
184,41.6,51.8,TRUE
185,95.2,76.6,FALSE
186,84,67.5,FALSE
187,69.9,73.6,TRUE
188,80.2,62,FALSE
189,86.4,64.9,FALSE
190,82.5,60.2,FALSE
191,65.3,74.1,TRUE
192,64.6,68.4,TRUE
193,72.6,47.5,FALSE
194,87,72.1,FALSE
195,64.2,69.8,TRUE
196,87.3,63.6,FALSE
197,74.5,66.7,FALSE
198,82.8,56.6,FALSE
199,82.1,62.6,FALSE
200,90,69.3,FALSE
201,75.8,73.1,FALSE
202,72,63.6,FALSE
203,91.3,53,FALSE
204,81.8,68.1,FALSE
205,77.3,58.2,FALSE
206,66.1,78.2,TRUE
207,76.8,57.5,FALSE
208,70,57.3,TRUE
209,91.5,80.7,FALSE
210,63.4,59.5,TRUE
211,63.2,63.9,TRUE
212,73.3,64.4,FALSE
213,45.7,64.9,TRUE
214,70.2,61,FALSE
215,73,69,FALSE
216,73,52,FALSE
217,69.5,70.6,TRUE
218,54.3,51.5,TRUE
219,69.2,69.8,TRUE
220,64.5,72.5,TRUE
221,91.8,79.8,FALSE
222,83.4,75.8,FALSE
223,92.5,72.4,FALSE
224,73.1,73.5,FALSE
225,70.2,70.1,FALSE
226,56.6,64.7,TRUE
227,83.1,52.1,FALSE
228,75,61.6,FALSE
229,96.1,73,FALSE
230,71.6,59.2,FALSE
231,87.1,62.9,FALSE
232,81.5,77.7,FALSE
233,70.6,59.9,FALSE
234,64.4,62.1,TRUE
235,82.5,67.6,FALSE
236,64.3,65.3,TRUE
237,86.9,60.9,FALSE
238,61,66.6,TRUE
239,77.9,60.2,FALSE
240,72,71.2,FALSE
241,68.8,70.8,TRUE
242,87.5,64.1,FALSE
243,60.8,64.1,TRUE
244,88.7,78.4,FALSE
245,71.9,61.5,FALSE
246,89.1,63.8,FALSE
247,81.6,70.9,FALSE
248,94.9,69.4,FALSE
249,75.6,58,FALSE
250,56.4,54.9,TRUE
251,74.6,57.4,FALSE
252,96.1,71.1,FALSE
253,86.6,78.4,FALSE
254,92.1,74.8,FALSE
255,83.3,63,FALSE
256,71.3,67,FALSE
257,72,58.4,FALSE
258,86.1,68.8,FALSE
259,90.2,59.1,FALSE
260,80.6,65.6,FALSE
261,55.7,65.8,TRUE
262,77.4,65.7,FALSE
263,86.9,74.7,FALSE
264,85.2,56.3,FALSE
265,84.4,65.9,FALSE
266,62.1,70.5,TRUE
267,42.3,52.9,TRUE
268,69.4,62.4,TRUE
269,84.1,70.2,FALSE
270,78.4,66.5,FALSE
271,85,68,FALSE
272,80.2,77,FALSE
273,85.9,66.7,FALSE
274,86.9,68.1,FALSE
275,75.3,64.6,FALSE
276,77.4,70.8,FALSE
277,85.2,71,FALSE
278,95.1,71.5,FALSE
279,77.3,68,FALSE
280,87.7,73.7,FALSE
281,53.7,60.6,TRUE
282,90.1,72.2,FALSE
283,52.5,64.9,TRUE
284,86.9,65.1,FALSE
285,72.5,59.4,FALSE
286,58.7,71.8,TRUE
287,85.3,76.8,FALSE
288,67,63.5,TRUE
289,79.2,70.6,FALSE
290,91.8,77.6,FALSE
291,82,55.3,FALSE
292,81.2,65,FALSE
293,88.8,73.4,FALSE
294,78.7,53,FALSE
295,71.7,52.4,FALSE
296,57.2,70.6,TRUE
297,52,65.4,TRUE
298,76,60.4,FALSE
299,51.4,69.7,TRUE
300,88.2,72,FALSE
301,98.3,74.3,FALSE
302,84.7,67.9,FALSE
303,85.3,65.9,FALSE
304,98.2,72.6,FALSE
305,66.8,60.8,TRUE
306,88.4,69.6,FALSE
307,81.3,71.6,FALSE
308,95.1,73.5,FALSE
309,89.4,71.3,FALSE
310,79.6,64.5,FALSE
311,57.7,50.9,TRUE
312,28.8,44.7,TRUE
313,77.9,54.3,FALSE
314,80.2,49.4,FALSE
315,85.2,76.6,FALSE
316,43.4,61.8,TRUE
317,93,75.6,FALSE
318,72.2,63.4,FALSE
319,78.5,67.1,FALSE
320,86.4,64.4,FALSE
321,94.6,80.8,FALSE
322,73.6,65.7,FALSE
323,78.4,68.3,FALSE
324,89,72.3,FALSE
325,75.5,67.2,FALSE
326,82.1,59.6,FALSE
327,87.3,66.7,FALSE
328,68.2,78.4,TRUE
329,82.9,58.5,FALSE
330,96.4,74.9,FALSE
331,99,68,FALSE
332,86.1,64.9,FALSE
333,60.2,60,TRUE
334,56.4,58.3,TRUE
335,72,64.2,FALSE
336,94.6,74.2,FALSE
337,74.1,68.6,FALSE
338,38.4,44.8,TRUE
339,99.8,77,FALSE
340,88.4,62.3,FALSE
341,53.1,63.1,TRUE
342,67.6,56.1,TRUE
343,61.5,58.6,TRUE
344,69.1,75.7,TRUE
345,67.3,69.1,TRUE
346,77.5,63.7,FALSE
347,89.8,67.7,FALSE
348,92.6,75.2,FALSE
349,77.2,68.1,FALSE
350,84.1,69,FALSE
351,89.6,60.1,FALSE
352,70,74.4,TRUE
353,75.1,62.1,FALSE
354,91.7,76.3,FALSE
355,85.3,72.1,FALSE
356,79,73.3,FALSE
357,93.9,65.5,FALSE
358,82.2,62.8,FALSE
359,87.6,74.7,FALSE
360,97.7,65.7,FALSE
361,82.2,79.6,FALSE
362,85.5,57.8,FALSE
363,86.4,57.5,FALSE
364,66.9,67.2,TRUE
365,75.3,66.5,FALSE
366,92.6,78.9,FALSE
367,70.8,66.6,FALSE
368,79.5,69.4,FALSE
369,74.9,67.2,FALSE
370,64.6,58.9,TRUE
371,75.8,68.3,FALSE
372,38.8,54.8,TRUE
373,75.8,62,FALSE
374,92.8,67.5,FALSE
375,92.5,77.8,FALSE
376,96.8,79,FALSE
377,88.7,72.5,FALSE
378,88,65.5,FALSE
379,86.4,68.9,FALSE
380,63,74.2,TRUE
381,92.9,72.1,FALSE
382,77.4,60.5,FALSE
383,68.5,72,TRUE
384,80,71.3,FALSE
385,74.8,69,FALSE
386,90.1,71.7,FALSE
387,93,68.7,FALSE
388,73,53.2,FALSE
389,83.9,75.8,FALSE
390,71.8,66.6,FALSE
391,71.1,72.6,FALSE
392,45.4,56.8,TRUE
393,83.9,61,FALSE
394,62.1,64,TRUE
395,86.9,57.8,FALSE
396,94.4,67.4,FALSE
397,92.4,75.5,FALSE
398,80.2,52.4,FALSE
399,76,59.4,FALSE
400,88.6,64.5,FALSE
401,73.7,68.3,FALSE
402,63.7,68.7,TRUE
403,93.1,79.8,FALSE
404,96.9,74,FALSE
405,92.9,59.5,FALSE
406,89.5,73.2,FALSE
407,82.3,65.6,FALSE
408,58.9,57.8,TRUE
409,72.9,71.6,FALSE
410,85.9,77,FALSE
411,78.4,70.7,FALSE
412,85.2,65.2,FALSE
413,54.4,61.6,TRUE
414,53.3,50.8,TRUE
415,92.1,79.4,FALSE
416,88,72.3,FALSE
417,95.7,63.5,FALSE
418,69.9,74.6,TRUE
419,73.6,63.7,FALSE
420,89,70.5,FALSE
421,64.3,66.8,TRUE
422,94.1,68.7,FALSE
423,91.6,64.9,FALSE
424,78.5,58.5,FALSE
425,68.1,62.8,TRUE
426,62.9,73,TRUE
427,56.4,63.4,TRUE
428,92.6,82.9,FALSE
429,63.4,65,TRUE
430,79.6,71.8,FALSE
431,81.6,76.4,FALSE
432,94.7,81.7,FALSE
433,68.4,64.7,TRUE
434,71.2,58.1,FALSE
435,78.1,58.3,FALSE
436,91.1,74.5,FALSE
437,89,68.1,FALSE
438,78,60.6,FALSE
439,54.9,63.1,TRUE
440,83.3,74.3,FALSE
441,89.3,59.9,FALSE
442,68.3,61.6,TRUE
443,69.7,71.3,TRUE
444,47.2,59.6,TRUE
445,42.4,58.5,TRUE
446,80.1,67,FALSE
447,77.8,64.3,FALSE
448,87.2,68.5,FALSE
449,89.1,67.7,FALSE
450,83.1,73.2,FALSE
451,73.7,72.8,FALSE
452,78.2,66.8,FALSE
453,74.2,56.3,FALSE
454,74.3,69,FALSE
455,63.3,66.5,TRUE
456,82,67.3,FALSE
457,37.2,64.1,TRUE
458,69.5,76,TRUE
459,92.3,62.9,FALSE
460,82.1,73.9,FALSE
461,67.9,74.4,TRUE
462,83.9,72.3,FALSE
463,71.4,50,FALSE
464,47.3,60.1,TRUE
465,86.9,63.9,FALSE
466,78.1,57.6,FALSE
467,85.9,70.8,FALSE
468,91.7,78.6,FALSE
469,96.5,71.9,FALSE
470,74.3,64.8,FALSE
471,65.9,55.3,TRUE
472,65.1,71.4,TRUE
473,93.8,74.2,FALSE
474,91.8,65.2,FALSE
475,91.9,75.8,FALSE
476,87.4,68.8,FALSE
477,74.8,58.3,FALSE
478,66.1,71.1,TRUE
479,57.2,71.8,TRUE
480,65.6,65.3,TRUE
481,87.5,70.9,FALSE
482,91.3,82.6,FALSE
483,82.4,64,FALSE
484,75.9,61.9,FALSE
485,63.1,70.4,TRUE
486,89.1,70.9,FALSE
487,72.5,65.3,FALSE
488,46.4,53.6,TRUE
489,89.6,79.9,FALSE
490,81.3,72.3,FALSE
491,96.1,76.4,FALSE
492,72.6,48.7,FALSE
493,86.8,69.6,FALSE
494,89.9,77.1,FALSE
495,88.4,55.7,FALSE
496,69.4,71.5,TRUE
497,97.8,69.3,FALSE
498,84.1,57.4,FALSE
499,90.7,67,FALSE
500,90.2,58.8,FALSE
501,68.7,75,TRUE
502,71.3,71.9,FALSE
503,79.5,71.6,FALSE
504,67.4,73,TRUE
505,86.4,66.3,FALSE
506,97.3,77.2,FALSE
507,81.4,60.9,FALSE
508,83.3,63.2,FALSE
509,75,56.8,FALSE
510,69.8,56.9,TRUE
511,57.9,73.3,TRUE
512,77,55.2,FALSE
513,85.2,69.6,FALSE
514,82.4,71.9,FALSE
515,60.6,76.3,TRUE
516,89.1,75.6,FALSE
517,90.2,72.4,FALSE
518,72.1,72.7,FALSE
519,65.7,70.6,TRUE
520,61.6,61.6,TRUE
521,77.6,72.5,FALSE
522,80.7,65.4,FALSE
523,53,70.4,TRUE
524,91.9,71.4,FALSE
525,55.7,55.2,TRUE
526,86.7,76.3,FALSE
527,75.5,54.7,FALSE
528,68.6,75.9,TRUE
529,75.5,67.7,FALSE
530,85.2,58.8,FALSE
531,74.7,68.2,FALSE
532,89,76.2,FALSE
533,87,54.6,FALSE
534,54.4,63.9,TRUE
535,71.4,44,FALSE
536,89.6,70.3,FALSE
537,77.7,69.7,FALSE
538,66,72.9,TRUE
539,89.4,57.4,FALSE
540,83.5,62.3,FALSE
541,56.1,57.7,TRUE
542,84.6,67.4,FALSE
543,95.5,71.3,FALSE
544,69.8,73.5,TRUE
545,94,62.2,FALSE
546,94.3,74.6,FALSE
547,76.6,58.4,FALSE
548,76.8,50.5,FALSE
549,78.3,64.5,FALSE
550,72.4,72.2,FALSE
551,87.2,73.1,FALSE
552,75.7,57.9,FALSE
553,85.3,57.2,FALSE
554,78.9,62.8,FALSE
555,91.9,63.8,FALSE
556,79.6,56.8,FALSE
557,76,54.2,FALSE
558,87.5,62.5,FALSE
559,77.1,65,FALSE
560,86.9,59.7,FALSE
561,86.9,72.2,FALSE
562,81,62.7,FALSE
563,68.4,73,TRUE
564,81,61.6,FALSE
565,74.4,58.1,FALSE
566,56.8,64.2,TRUE
567,82.2,65.9,FALSE
568,79.5,61.2,FALSE
569,68,76.8,TRUE
570,92.8,62.6,FALSE
571,67.2,66.4,TRUE
572,85.5,63.2,FALSE
573,91.8,72.2,FALSE
574,96.1,84.5,FALSE
575,87.7,62.6,FALSE
576,92.1,73,FALSE
577,92.2,66,FALSE
578,92.4,79.1,FALSE
579,67.2,56.8,TRUE
580,89.5,72.5,FALSE
581,86.5,68.7,FALSE
582,83.9,70.9,FALSE
583,74.4,65.9,FALSE
584,83.1,74.4,FALSE
585,60.5,64.3,TRUE
586,82.3,62.3,FALSE
587,97.8,75.3,FALSE
588,79.3,67.7,FALSE
589,96.5,69.9,FALSE
590,57.6,69,TRUE
591,88,73.3,FALSE
592,91.6,78.8,FALSE
593,86.2,63.2,FALSE
594,66.3,73,TRUE
595,73.2,52.9,FALSE
596,90.3,71.4,FALSE
597,77.9,63.9,FALSE
598,66.7,73.5,TRUE
599,41.3,53.4,TRUE
600,75.5,62.7,FALSE
601,87.5,80,FALSE
602,82.5,61.3,FALSE
603,61,78.4,TRUE
604,57.8,66.8,TRUE
605,69.2,80.1,TRUE
606,81.1,63.2,FALSE
607,92.6,57.5,FALSE
608,83.3,62.4,FALSE
609,85.7,56.7,FALSE
610,71.8,67.7,FALSE
611,64.1,61.8,TRUE
612,92.1,69.6,FALSE
613,84.4,66.3,FALSE
614,75.3,53.2,FALSE
615,83.4,69.7,FALSE
616,92.4,73.9,FALSE
617,99,78.6,FALSE
618,78.2,73.1,FALSE
619,78.3,63.6,FALSE
620,37,53.8,TRUE
621,97.1,67.5,FALSE
622,87.1,70.2,FALSE
623,59.2,71.1,TRUE
624,71.5,61.7,FALSE
625,75.7,59.2,FALSE
626,86.6,66.1,FALSE
627,74.2,53,FALSE
628,81.5,50,FALSE
629,75.8,47.9,FALSE
630,86.1,71.3,FALSE
631,46.3,58.8,TRUE
632,83.3,69.4,FALSE
633,82.5,67.8,FALSE
634,83.1,62.9,FALSE
635,82.4,69.8,FALSE
636,76.1,71,FALSE
637,70.7,62.2,FALSE
638,64.2,54.4,TRUE
639,81.9,49.7,FALSE
640,89.9,73,FALSE
641,94.1,65.1,FALSE
642,77.1,64.5,FALSE
643,76.9,64.4,FALSE
644,75.9,67.8,FALSE
645,79.4,74.8,FALSE
646,76,56.2,FALSE
647,76.2,74.2,FALSE
648,88.1,71.7,FALSE
649,70.4,46.6,FALSE
650,91.4,69.9,FALSE
651,94.3,70.6,FALSE
652,79.8,57.7,FALSE
653,91.5,62.3,FALSE
654,66.4,63,TRUE
655,80.1,61.7,FALSE
656,88.2,56.2,FALSE
657,79.6,49.8,FALSE
658,43.8,55.1,TRUE
659,79.6,66.4,FALSE
660,82.8,66.3,FALSE
661,70.9,57.6,FALSE
662,55.2,67.5,TRUE
663,90.9,65.1,FALSE
664,80.7,74,FALSE
665,53.8,42.8,TRUE
666,71.5,59.4,FALSE
667,80.8,65.9,FALSE
668,93.2,67.1,FALSE
669,82.1,69.1,FALSE
670,80.7,66.5,FALSE
671,79.1,64.4,FALSE
672,37.9,44.2,TRUE
673,84.6,61.5,FALSE
674,95,71.1,FALSE
675,68.3,70.5,TRUE
676,79.6,66.6,FALSE
677,81,74.5,FALSE
678,65.2,62.4,TRUE
679,99.4,71,FALSE
680,85.8,75.1,FALSE
681,80.2,66.5,FALSE
682,65.9,56.7,TRUE
683,81.9,54.9,FALSE
684,90.6,78.6,FALSE
685,70.9,53.7,FALSE
686,77.5,62.7,FALSE
687,75.9,59.8,FALSE
688,51.6,67,TRUE
689,85.6,69.4,FALSE
690,92.7,83.5,FALSE
691,93,76.8,FALSE
692,90.8,72.7,FALSE
693,93.8,60.5,FALSE
694,78.6,71.6,FALSE
695,79.4,62.3,FALSE
696,61.8,65.2,TRUE
697,91.5,79.8,FALSE
698,81.3,63.4,FALSE
699,66.7,54.5,TRUE
700,83.2,58.6,FALSE
701,61.6,56,TRUE
702,63.8,68.5,TRUE
703,86.7,60.2,FALSE
704,88.3,77.6,FALSE
705,80.8,66.7,FALSE
706,77.7,63,FALSE
707,78.7,60.1,FALSE
708,86,62,FALSE
709,89.9,73.4,FALSE
710,91.8,74.5,FALSE
711,58.3,66.8,TRUE
712,90.5,74.4,FALSE
713,44.2,58.1,TRUE
714,80,57.6,FALSE
715,85.6,64,FALSE
716,91.3,73.9,FALSE
717,78.1,69.1,FALSE
718,81.4,66.5,FALSE
719,75,64.1,FALSE
720,86.4,57.6,FALSE
721,65.3,80.4,TRUE
722,63.3,73.5,TRUE
723,53.9,56.8,TRUE
724,74.3,56.6,FALSE
725,86,72.7,FALSE
726,79,66.1,FALSE
727,95.3,56.9,FALSE
728,75.5,70.3,FALSE
729,84.1,64.5,FALSE
730,70.2,51.1,FALSE
731,82,69.9,FALSE
732,93.7,79.5,FALSE
733,77.2,60.4,FALSE
734,93.5,68.3,FALSE
735,58.7,67.5,TRUE
736,96.4,79.4,FALSE
737,80.1,73.9,FALSE
738,69.1,73.9,TRUE
739,94.7,83.8,FALSE
740,89.5,66.7,FALSE
741,85.2,75,FALSE
742,74.9,65.3,FALSE
743,82.9,72.1,FALSE
744,90.9,67.9,FALSE
745,70.1,59,FALSE
746,85.4,76.1,FALSE
747,68.1,67,TRUE
748,85.2,72.5,FALSE
749,90.2,64.8,FALSE
750,79.3,59.7,FALSE
751,64.8,67.7,TRUE
752,73.4,67.4,FALSE
753,78.7,67.8,FALSE
754,96.9,80.5,FALSE
755,78.4,57.1,FALSE
756,89.3,69.3,FALSE
757,81,62.8,FALSE
758,73.1,63.1,FALSE
759,94.7,70.6,FALSE
760,63.2,64.5,TRUE
761,73.4,50.1,FALSE
762,56.4,61.2,TRUE
763,85.6,76.9,FALSE
764,85,75.6,FALSE
765,90.6,77.1,FALSE
766,83.3,67.4,FALSE
767,57.5,64.6,TRUE
768,57.9,53.6,TRUE
769,96.4,83.7,FALSE
770,60.6,72.5,TRUE
771,55,73.4,TRUE
772,65.6,63.6,TRUE
773,89.2,72.9,FALSE
774,54.2,67.9,TRUE
775,62.9,73.4,TRUE
776,64.5,64.9,TRUE
777,83.5,62.1,FALSE
778,60,73.6,TRUE
779,75.9,54.2,FALSE
780,78.9,60.6,FALSE
781,41.8,54,TRUE
782,62.3,64,TRUE
783,84.1,63.5,FALSE
784,94.5,63.9,FALSE
785,66.2,72,TRUE
786,84.4,66.8,FALSE
787,58.6,71.8,TRUE
788,68.9,67.1,TRUE
789,77.4,73.1,FALSE
790,79.2,62.9,FALSE
791,83.3,58.3,FALSE
792,74.3,75.2,FALSE
793,91.6,75.1,FALSE
794,64.3,72.7,TRUE
795,83.7,76.2,FALSE
796,88,65.3,FALSE
797,82.8,71.6,FALSE
798,96.1,60,FALSE
799,83.1,57.2,FALSE
800,75.9,56.2,FALSE
801,85.6,64.9,FALSE
802,83.9,63.9,FALSE
803,70.7,55.1,FALSE
804,73.8,59.5,FALSE
805,87.2,75.9,FALSE
806,66.7,69.9,TRUE
807,74.6,55.7,FALSE
808,64,75.6,TRUE
809,93.3,70.9,FALSE
810,80.8,65.1,FALSE
811,85.5,71.5,FALSE
812,90.9,60.4,FALSE
813,61.9,69.4,TRUE
814,68.9,71.2,TRUE
815,92.6,64,FALSE
816,93.8,77.8,FALSE
817,95.9,74.7,FALSE
818,76,63.5,FALSE
819,91.9,63.4,FALSE
820,83.5,53.2,FALSE
821,83.1,51.7,FALSE
822,71.9,62.7,FALSE
823,91.7,62.9,FALSE
824,79.3,70.8,FALSE
825,88,73,FALSE
826,74,69.6,FALSE
827,89.1,64.7,FALSE
828,77.3,57.5,FALSE
829,65.9,66.2,TRUE
830,90.5,75.7,FALSE
831,81.1,63.2,FALSE
832,71.5,68.9,FALSE
833,79.2,75.5,FALSE
834,97,77.2,FALSE
835,62.3,69.2,TRUE
836,77.5,70.4,FALSE
837,79.4,76.6,FALSE
838,69.9,73.1,TRUE
839,81.2,61.2,FALSE
840,90.5,63.6,FALSE
841,87,54.5,FALSE
842,76.8,63.1,FALSE
843,74.5,58.5,FALSE
844,90.4,71.4,FALSE
845,84.3,78.8,FALSE
846,88.9,49.1,FALSE
847,92.7,66.1,FALSE
848,87.2,58.9,FALSE
849,75.2,53.6,FALSE
850,72.7,54.1,FALSE
851,66.2,60.1,TRUE
852,73.9,52.8,FALSE
853,75.1,67.5,FALSE
854,57.2,65.6,TRUE
855,80.4,64.3,FALSE
856,73.2,67.7,FALSE
857,89.6,78.6,FALSE
858,96.3,72,FALSE
859,81.2,71.3,FALSE
860,67.1,67.8,TRUE
861,68.6,68,TRUE
862,62.2,66.5,TRUE
863,84.4,61.2,FALSE
864,92.4,77.5,FALSE
865,72.3,60.4,FALSE
866,94.8,65.7,FALSE
867,65.2,68.9,TRUE
868,63.6,72,TRUE
869,57.6,65.5,TRUE
870,81.3,52,FALSE
871,87.2,51.6,FALSE
872,69.4,56.5,TRUE
873,39.4,64.9,TRUE
874,92.4,82.5,FALSE
875,84.3,66.6,FALSE
876,75.2,64,FALSE
877,76.7,73,FALSE
878,84.4,52.5,FALSE
879,98.3,72,FALSE
880,82.1,64.7,FALSE
881,92.2,72,FALSE
882,77.2,67.3,FALSE
883,89,78.7,FALSE
884,79.7,66.4,FALSE
885,88,76.3,FALSE
886,83.9,65.4,FALSE
887,83.5,60.8,FALSE
888,46.6,60.5,TRUE
889,63.2,53.6,TRUE
890,81.4,51,FALSE
891,92.6,60.5,FALSE
892,54.7,72.3,TRUE
893,94.1,71.4,FALSE
894,92.2,69.8,FALSE
895,88.3,63.5,FALSE
896,90.3,79.7,FALSE
897,89.7,71.9,FALSE
898,47.8,56.1,TRUE
899,79.5,63.3,FALSE
900,87.7,57.2,FALSE
901,64.3,58.1,TRUE
902,74.3,53.1,FALSE
903,92.5,58.7,FALSE
904,85.9,67.8,FALSE
905,67.5,67.1,TRUE
906,60.2,72,TRUE
907,78,59.7,FALSE
908,95.9,71.4,FALSE
909,87.8,58.7,FALSE
910,81.2,54.8,FALSE
911,68.4,77.9,TRUE
912,76.8,60.7,FALSE
913,76.8,66.9,FALSE
914,70.6,61.6,FALSE
915,82.1,67.3,FALSE
916,84.2,74.8,FALSE
917,76.1,55,FALSE
918,88.7,65.4,FALSE
919,82.2,77.2,FALSE
920,85.5,70.5,FALSE
921,89.4,71.3,FALSE
922,57.7,68.7,TRUE
923,93,72.9,FALSE
924,84.7,58.5,FALSE
925,72.1,56.2,FALSE
926,79.5,70.4,FALSE
927,73.3,63.3,FALSE
928,93.3,72.4,FALSE
929,84.2,69.9,FALSE
930,95.8,73.9,FALSE
931,89,71.7,FALSE
932,51.9,58.6,TRUE
933,73.2,57.1,FALSE
934,76.3,67.4,FALSE
935,90,68.1,FALSE
936,85.8,65.6,FALSE
937,90.7,67.1,FALSE
938,76.9,62,FALSE
939,62.1,61.6,TRUE
940,72.3,66.3,FALSE
941,86.5,67.8,FALSE
942,67,74.9,TRUE
943,70.6,65.7,FALSE
944,60.1,77.7,TRUE
945,84.3,56.1,FALSE
946,92.2,75.1,FALSE
947,79.2,59.6,FALSE
948,72.3,63.2,FALSE
949,78.9,46.8,FALSE
950,69.8,68,TRUE
951,79.1,63.2,FALSE
952,81.4,64.7,FALSE
953,79.8,62.1,FALSE
954,78.1,65.9,FALSE
955,75.8,62.1,FALSE
956,85.9,62,FALSE
