PublicHousing,HealthStatus,Supply,WaitingTime,HealthBehavior,Stamp,ParentsHealthStatus,Age,Race,Education,MaritalStatus,Race_4,Race_2,Race_1,Race_3,MaritalStatus_4,MaritalStatus_1,MaritalStatus_2,MaritalStatus_3
13,4,4,23,6,193,9,35,3,1,4,0,0,0,1,1,0,0,0
29,9,6,32,9,232,11,42,4,1,4,1,0,0,0,1,0,0,0
43,15,3,26,21,244,13,36,3,3,2,0,0,0,1,0,0,1,0
25,8,5,32,7,194,13,45,1,1,1,0,0,1,0,0,1,0,0
34,12,5,32,12,227,11,42,2,1,2,0,1,0,0,0,0,1,0
32,12,4,29,12,190,16,55,3,4,1,0,0,0,1,0,1,0,0
50,16,4,39,17,192,13,42,3,4,3,0,0,0,1,0,0,0,1
24,10,6,14,15,246,9,44,4,1,2,1,0,0,0,0,0,1,0
40,15,6,22,19,195,15,48,2,4,1,0,1,0,0,0,1,0,0
21,10,3,16,13,205,10,53,4,4,2,1,0,0,0,0,0,1,0
11,3,4,31,1,187,13,36,1,1,3,0,0,1,0,0,0,0,1
8,3,4,24,2,166,14,45,4,2,4,1,0,0,0,1,0,0,0
28,9,6,30,9,247,8,42,4,2,2,1,0,0,0,0,0,1,0
13,5,5,22,6,193,11,45,2,3,2,0,1,0,0,0,0,1,0
24,8,6,26,9,209,15,44,2,3,3,0,1,0,0,0,0,0,1
39,13,5,30,15,213,13,47,4,3,4,1,0,0,0,1,0,0,0
35,13,5,26,14,219,11,55,1,1,3,0,0,1,0,0,0,0,1
31,11,8,22,14,193,10,44,3,1,1,0,0,0,1,0,1,0,0
10,2,3,33,0,181,14,41,1,2,3,0,0,1,0,0,0,0,1
35,12,3,23,17,174,9,38,4,1,1,1,0,0,0,0,1,0,0
26,11,4,13,16,191,10,51,1,2,4,0,0,1,0,1,0,0,0
22,8,3,26,10,194,7,39,1,3,1,0,0,1,0,0,1,0,0
34,12,3,26,15,191,14,47,4,4,4,1,0,0,0,1,0,0,0
33,12,6,24,15,153,10,46,2,1,1,0,1,0,0,0,1,0,0
19,8,3,19,11,228,8,46,4,3,2,1,0,0,0,0,0,1,0
17,7,5,22,8,199,12,48,2,4,2,0,1,0,0,0,0,1,0
33,12,6,24,14,203,10,52,2,2,1,0,1,0,0,0,1,0,0
31,13,3,18,17,204,5,54,1,3,3,0,0,1,0,0,0,0,1
36,13,6,22,17,204,10,44,2,2,1,0,1,0,0,0,1,0,0
39,15,4,19,20,134,15,46,1,4,3,0,0,1,0,0,0,0,1
30,10,8,30,9,194,15,53,3,2,4,0,0,0,1,1,0,0,0
45,16,3,30,19,168,12,46,2,2,4,0,1,0,0,1,0,0,0
19,7,5,27,5,199,12,59,1,2,1,0,0,1,0,0,1,0,0
19,7,6,22,9,185,10,41,2,2,3,0,1,0,0,0,0,0,1
34,13,2,27,15,190,14,47,1,1,2,0,0,1,0,0,0,1,0
23,9,6,17,13,241,5,39,2,2,2,0,1,0,0,0,0,1,0
27,9,4,26,12,204,15,31,1,4,3,0,0,1,0,0,0,0,1
5,3,4,21,1,185,4,59,3,3,2,0,0,0,1,0,0,1,0
5,3,7,6,8,241,9,48,3,4,4,0,0,0,1,1,0,0,0
43,14,3,33,17,226,13,35,1,4,1,0,0,1,0,0,1,0,0
41,15,7,26,17,221,8,51,3,3,4,0,0,0,1,1,0,0,0
33,13,4,16,19,197,11,44,2,1,3,0,1,0,0,0,0,0,1
32,13,4,19,17,178,18,47,4,1,3,1,0,0,0,0,0,0,1
27,9,5,25,12,149,13,40,1,4,1,0,0,1,0,0,1,0,0
33,12,3,25,16,192,9,37,2,4,4,0,1,0,0,1,0,0,0
37,12,6,32,13,198,8,45,3,3,1,0,0,0,1,0,1,0,0
35,13,7,26,14,191,11,48,1,4,4,0,0,1,0,1,0,0,0
27,11,4,18,15,216,14,49,1,4,1,0,0,1,0,0,1,0,0
50,18,5,31,20,187,10,42,1,4,4,0,0,1,0,1,0,0,0
25,9,4,25,12,137,12,33,2,1,2,0,1,0,0,0,0,1,0
31,11,4,25,14,156,11,52,2,1,1,0,1,0,0,0,1,0,0
32,11,5,25,14,231,9,39,3,4,2,0,0,0,1,0,0,1,0
15,5,6,27,4,217,13,42,1,2,3,0,0,1,0,0,0,0,1
40,15,6,26,17,175,9,52,2,4,4,0,1,0,0,1,0,0,0
31,11,6,23,14,232,13,40,4,4,4,1,0,0,0,1,0,0,0
24,8,2,30,9,220,4,42,2,2,4,0,1,0,0,1,0,0,0
28,11,6,21,13,157,8,50,3,1,4,0,0,0,1,1,0,0,0
23,9,4,24,10,217,15,45,2,2,1,0,1,0,0,0,1,0,0
47,18,7,22,22,189,15,46,3,1,2,0,0,0,1,0,0,1,0
39,14,6,25,17,174,11,44,4,2,3,1,0,0,0,0,0,0,1
34,12,4,30,13,231,8,45,3,3,2,0,0,0,1,0,0,1,0
46,15,5,33,17,254,11,46,2,2,3,0,1,0,0,0,0,0,1
14,5,6,23,5,211,10,49,4,2,1,1,0,0,0,0,1,0,0
5,4,5,12,6,259,12,50,1,2,1,0,0,1,0,0,1,0,0
33,12,5,19,17,215,11,42,2,1,3,0,1,0,0,0,0,0,1
44,16,7,33,16,141,9,47,1,1,1,0,0,1,0,0,1,0,0
31,11,6,26,12,212,10,52,4,3,3,1,0,0,0,0,0,0,1
59,19,3,42,21,173,9,45,3,1,1,0,0,0,1,0,1,0,0
27,8,4,31,10,210,13,34,3,3,3,0,0,0,1,0,0,0,1
35,13,6,19,18,215,13,47,2,3,3,0,1,0,0,0,0,0,1
40,14,5,30,16,224,11,39,4,4,3,1,0,0,0,0,0,0,1
51,17,5,38,17,160,14,48,3,2,3,0,0,0,1,0,0,0,1
19,7,6,22,8,186,8,47,1,3,4,0,0,1,0,1,0,0,0
39,13,4,35,14,194,16,43,3,3,1,0,0,0,1,0,1,0,0
28,11,5,18,15,172,9,41,3,2,4,0,0,0,1,1,0,0,0
26,10,4,28,10,181,6,47,3,4,3,0,0,0,1,0,0,0,1
42,14,0,40,14,205,10,48,3,4,3,0,0,0,1,0,0,0,1
33,12,6,22,15,176,9,51,4,1,3,1,0,0,0,0,0,0,1
16,8,8,13,10,170,12,50,4,3,2,1,0,0,0,0,0,1,0
26,11,6,15,15,216,11,48,3,4,2,0,0,0,1,0,0,1,0
37,13,5,27,15,194,11,52,2,3,1,0,1,0,0,0,1,0,0
30,12,6,18,16,137,4,45,1,2,1,0,0,1,0,0,1,0,0
22,8,6,20,11,212,12,46,2,3,3,0,1,0,0,0,0,0,1
27,10,7,21,13,209,17,44,1,4,2,0,0,1,0,0,0,1,0
33,12,3,24,16,215,7,47,1,1,1,0,0,1,0,0,1,0,0
22,8,4,25,9,220,6,43,1,2,2,0,0,1,0,0,0,1,0
21,6,5,38,3,215,8,31,4,1,2,1,0,0,0,0,0,1,0
24,9,2,23,12,158,14,47,1,2,1,0,0,1,0,0,1,0,0
5,3,6,16,4,175,15,45,2,3,3,0,1,0,0,0,0,0,1
30,11,4,18,17,205,10,39,4,4,1,1,0,0,0,0,1,0,0
41,15,6,29,16,199,12,50,3,1,2,0,0,0,1,0,0,1,0
19,10,3,11,14,220,8,58,4,2,1,1,0,0,0,0,1,0,0
41,15,4,24,20,207,14,42,3,3,3,0,0,0,1,0,0,0,1
25,9,5,23,10,175,14,51,2,1,3,0,1,0,0,0,0,0,1
36,13,5,27,15,214,10,49,4,2,1,1,0,0,0,0,1,0,0
18,8,3,17,11,176,11,48,1,1,2,0,0,1,0,0,0,1,0
27,9,5,24,12,189,9,45,3,3,4,0,0,0,1,1,0,0,0
39,13,10,23,17,229,10,35,4,3,3,1,0,0,0,0,0,0,1
20,8,4,19,11,213,11,49,1,1,1,0,0,1,0,0,1,0,0
40,13,3,32,15,156,8,50,1,2,3,0,0,1,0,0,0,0,1
29,12,4,17,16,161,15,51,1,2,1,0,0,1,0,0,1,0,0
48,17,4,27,22,193,13,42,3,4,4,0,0,0,1,1,0,0,0
27,9,2,27,12,153,12,38,1,3,4,0,0,1,0,1,0,0,0
37,14,6,20,18,226,13,52,1,1,1,0,0,1,0,0,1,0,0
29,12,7,23,12,151,14,59,2,1,4,0,1,0,0,1,0,0,0
32,12,6,25,13,213,13,53,3,4,2,0,0,0,1,0,0,1,0
14,6,5,16,10,222,12,35,3,2,1,0,0,0,1,0,1,0,0
10,3,6,23,3,230,14,36,1,3,4,0,0,1,0,1,0,0,0
19,7,4,22,9,167,11,45,2,1,1,0,1,0,0,0,1,0,0
15,6,2,25,6,183,11,46,4,2,1,1,0,0,0,0,1,0,0
15,6,5,25,6,188,11,44,4,3,4,1,0,0,0,1,0,0,0
13,5,7,19,6,178,12,40,2,1,3,0,1,0,0,0,0,0,1
36,11,4,39,10,212,14,42,2,4,4,0,1,0,0,1,0,0,0
25,9,4,24,12,193,11,40,3,3,4,0,0,0,1,1,0,0,0
43,16,4,22,22,225,13,40,3,3,3,0,0,0,1,0,0,0,1
34,12,6,27,14,165,19,44,1,3,3,0,0,1,0,0,0,0,1
28,9,4,36,7,192,6,37,2,3,3,0,1,0,0,0,0,0,1
42,14,7,30,16,203,14,42,2,1,4,0,1,0,0,1,0,0,0
10,5,4,17,7,151,16,50,3,1,1,0,0,0,1,0,1,0,0
16,7,3,22,8,192,14,49,4,3,3,1,0,0,0,0,0,0,1
44,16,6,24,20,199,14,42,4,4,2,1,0,0,0,0,0,1,0
27,12,6,17,14,213,10,58,2,2,2,0,1,0,0,0,0,1,0
35,13,6,28,14,188,16,41,4,4,2,1,0,0,0,0,0,1,0
31,11,2,25,15,251,10,38,2,4,1,0,1,0,0,0,1,0,0
20,7,3,23,10,223,13,35,3,3,3,0,0,0,1,0,0,0,1
56,18,10,37,19,182,13,40,3,4,4,0,0,0,1,1,0,0,0
35,11,3,32,13,198,13,43,4,4,1,1,0,0,0,0,1,0,0
46,16,7,32,17,166,13,50,4,4,2,1,0,0,0,0,0,1,0
26,10,6,22,12,194,7,47,3,2,1,0,0,0,1,0,1,0,0
31,11,4,26,13,214,16,43,4,4,2,1,0,0,0,0,0,1,0
40,16,9,16,21,190,12,48,1,4,3,0,0,1,0,0,0,0,1
23,9,9,19,10,235,10,52,2,1,2,0,1,0,0,0,0,1,0
17,8,8,9,13,255,10,41,1,2,4,0,0,1,0,1,0,0,0
25,11,3,13,17,201,9,44,2,3,4,0,1,0,0,1,0,0,0
28,10,5,23,13,216,11,49,3,1,4,0,0,0,1,1,0,0,0
29,11,4,26,11,185,10,56,3,2,3,0,0,0,1,0,0,0,1
16,5,3,27,5,199,12,41,2,3,2,0,1,0,0,0,0,1,0
21,8,7,21,9,217,8,46,3,1,1,0,0,0,1,0,1,0,0
29,11,7,19,15,159,13,45,4,3,1,1,0,0,0,0,1,0,0
38,12,8,28,15,180,14,36,4,4,3,1,0,0,0,0,0,0,1
29,11,5,21,15,164,15,38,3,4,2,0,0,0,1,0,0,1,0
22,7,7,24,9,190,8,39,4,1,1,1,0,0,0,0,1,0,0
38,14,6,23,18,189,12,41,1,3,2,0,0,1,0,0,0,1,0
22,9,7,19,11,198,5,48,1,4,3,0,0,1,0,0,0,0,1
31,10,5,28,12,182,10,39,3,4,2,0,0,0,1,0,0,1,0
17,7,6,18,9,227,7,45,4,3,3,1,0,0,0,0,0,0,1
34,13,3,25,15,184,12,47,1,2,1,0,0,1,0,0,1,0,0
17,5,4,29,5,180,10,40,4,2,4,1,0,0,0,1,0,0,0
27,11,6,22,12,163,7,55,3,2,3,0,0,0,1,0,0,0,1
23,8,4,27,9,225,8,47,4,4,3,1,0,0,0,0,0,0,1
9,5,7,11,8,200,12,49,3,3,3,0,0,0,1,0,0,0,1
28,11,6,21,13,191,16,48,1,1,2,0,0,1,0,0,0,1,0
30,12,6,23,13,225,11,56,4,1,3,1,0,0,0,0,0,0,1
19,6,7,26,6,159,10,43,2,1,1,0,1,0,0,0,1,0,0
23,9,6,18,12,204,14,43,3,1,2,0,0,0,1,0,0,1,0
47,16,5,32,18,195,12,51,3,4,1,0,0,0,1,0,1,0,0
30,12,5,21,14,184,15,54,1,2,1,0,0,1,0,0,1,0,0
20,6,2,32,6,214,12,40,2,2,2,0,1,0,0,0,0,1,0
37,12,5,29,15,179,8,40,3,1,1,0,0,0,1,0,1,0,0
25,8,2,28,10,215,10,40,3,1,3,0,0,0,1,0,0,0,1
32,11,5,30,12,185,11,47,3,1,2,0,0,0,1,0,0,1,0
24,9,4,20,12,174,8,46,4,4,3,1,0,0,0,0,0,0,1
32,12,6,23,14,169,10,53,3,2,3,0,0,0,1,0,0,0,1
13,6,8,9,11,171,10,38,1,2,3,0,0,1,0,0,0,0,1
25,11,7,11,16,165,9,39,2,2,2,0,1,0,0,0,0,1,0
24,9,5,22,11,170,13,46,3,1,3,0,0,0,1,0,0,0,1
36,14,3,18,21,230,15,37,1,3,4,0,0,1,0,1,0,0,0
44,16,4,28,19,194,12,50,3,2,2,0,0,0,1,0,0,1,0
43,15,5,29,18,231,10,36,3,3,2,0,0,0,1,0,0,1,0
27,11,6,18,15,188,11,40,4,4,1,1,0,0,0,0,1,0,0
27,10,3,23,13,204,16,43,2,3,2,0,1,0,0,0,0,1,0
49,16,7,38,15,151,14,47,3,2,4,0,0,0,1,1,0,0,0
27,9,8,29,9,199,14,47,1,4,1,0,0,1,0,0,1,0,0
37,12,7,32,13,194,16,44,4,3,3,1,0,0,0,0,0,0,1
16,6,3,27,5,176,7,48,1,1,1,0,0,1,0,0,1,0,0
25,11,6,19,12,150,13,55,4,1,1,1,0,0,0,0,1,0,0
51,19,5,21,25,192,12,56,3,2,1,0,0,0,1,0,1,0,0
26,10,5,28,8,231,15,57,1,1,4,0,0,1,0,1,0,0,0
7,4,5,14,6,183,6,50,3,3,1,0,0,0,1,0,1,0,0
13,7,2,7,15,199,9,39,2,4,1,0,1,0,0,0,1,0,0
38,14,5,28,16,142,12,41,4,3,4,1,0,0,0,1,0,0,0
38,14,5,24,17,193,3,49,3,2,2,0,0,0,1,0,0,1,0
35,12,7,30,12,156,11,39,3,2,4,0,0,0,1,1,0,0,0
30,10,2,33,10,174,13,41,2,3,4,0,1,0,0,1,0,0,0
29,11,3,23,15,217,16,40,2,3,1,0,1,0,0,0,1,0,0
27,10,6,25,11,207,13,40,1,1,2,0,0,1,0,0,0,1,0
44,15,3,29,19,193,11,40,4,4,1,1,0,0,0,0,1,0,0
28,10,10,25,10,190,16,54,2,2,4,0,1,0,0,1,0,0,0
21,8,5,23,9,209,9,48,4,3,1,1,0,0,0,0,1,0,0
40,14,5,34,13,158,6,47,3,2,3,0,0,0,1,0,0,0,1
50,18,3,33,19,219,9,51,3,2,4,0,0,0,1,1,0,0,0
29,12,4,16,18,151,9,30,1,3,4,0,0,1,0,1,0,0,0
20,7,7,27,7,200,15,42,2,2,1,0,1,0,0,0,1,0,0
32,12,5,25,14,179,10,47,1,3,2,0,0,1,0,0,0,1,0
14,6,5,17,8,265,9,47,4,1,2,1,0,0,0,0,0,1,0
40,15,4,30,16,225,12,48,2,1,4,0,1,0,0,1,0,0,0
22,9,4,23,9,185,8,55,1,4,2,0,0,1,0,0,0,1,0
31,12,5,22,14,193,16,54,4,1,4,1,0,0,0,1,0,0,0
25,10,5,15,15,251,10,46,3,2,4,0,0,0,1,1,0,0,0
26,9,5,29,9,202,10,49,4,1,3,1,0,0,0,0,0,0,1
45,16,5,28,19,222,8,53,4,4,2,1,0,0,0,0,0,1,0
41,15,3,29,17,201,13,53,2,3,1,0,1,0,0,0,1,0,0
33,12,4,30,12,188,17,45,3,3,4,0,0,0,1,1,0,0,0
31,9,2,37,8,169,11,45,3,2,4,0,0,0,1,1,0,0,0
42,15,3,34,16,228,12,42,3,4,2,0,0,0,1,0,0,1,0
11,6,3,13,9,220,10,48,1,2,3,0,0,1,0,0,0,0,1
24,9,5,23,10,178,9,45,1,2,3,0,0,1,0,0,0,0,1
18,7,5,23,7,173,7,47,4,4,4,1,0,0,0,1,0,0,0
29,10,9,23,12,264,15,40,3,2,2,0,0,0,1,0,0,1,0
18,6,5,27,7,227,9,40,3,4,2,0,0,0,1,0,0,1,0
36,13,4,21,19,211,18,36,1,4,3,0,0,1,0,0,0,0,1
25,9,7,23,11,204,14,38,4,2,1,1,0,0,0,0,1,0,0
36,13,7,23,17,191,14,39,4,1,3,1,0,0,0,0,0,0,1
22,8,2,24,10,128,13,50,4,1,1,1,0,0,0,0,1,0,0
30,11,3,31,11,164,11,45,2,4,1,0,1,0,0,0,1,0,0
31,11,4,21,16,197,14,46,4,2,2,1,0,0,0,0,0,1,0
37,12,5,35,11,208,11,52,3,2,1,0,0,0,1,0,1,0,0
30,11,3,21,15,182,8,47,4,3,3,1,0,0,0,0,0,0,1
26,9,1,30,10,214,13,50,2,4,2,0,1,0,0,0,0,1,0
21,7,1,29,8,211,6,40,1,1,1,0,0,1,0,0,1,0,0
34,11,4,31,13,216,6,36,1,4,4,0,0,1,0,1,0,0,0
39,13,7,31,15,182,8,35,4,2,1,1,0,0,0,0,1,0,0
38,12,4,30,16,160,16,32,2,3,1,0,1,0,0,0,1,0,0
26,10,3,20,14,257,20,47,4,4,2,1,0,0,0,0,0,1,0
33,13,5,19,17,206,9,45,3,1,3,0,0,0,1,0,0,0,1
21,7,4,25,9,199,13,44,4,3,4,1,0,0,0,1,0,0,0
41,16,4,19,21,194,12,59,4,1,1,1,0,0,0,0,1,0,0
38,12,5,32,13,180,12,46,3,1,3,0,0,0,1,0,0,0,1
45,18,5,23,21,205,7,58,1,4,3,0,0,1,0,0,0,0,1
22,7,4,21,11,266,13,41,4,4,3,1,0,0,0,0,0,0,1
42,15,4,33,15,175,14,49,3,1,4,0,0,0,1,1,0,0,0
25,9,6,20,13,238,11,41,2,4,4,0,1,0,0,1,0,0,0
45,15,6,33,16,170,13,48,3,2,2,0,0,0,1,0,0,1,0
30,11,5,24,14,202,15,44,2,3,2,0,1,0,0,0,0,1,0
34,10,5,31,12,181,13,40,2,3,3,0,1,0,0,0,0,0,1
30,11,4,25,13,208,6,51,3,3,2,0,0,0,1,0,0,1,0
55,20,5,31,23,227,14,41,3,2,2,0,0,0,1,0,0,1,0
36,13,6,25,15,165,12,47,1,1,1,0,0,1,0,0,1,0,0
33,13,5,16,19,176,8,48,1,2,1,0,0,1,0,0,1,0,0
27,10,7,20,13,245,9,39,1,1,2,0,0,1,0,0,0,1,0
45,16,5,28,20,191,14,42,1,1,1,0,0,1,0,0,1,0,0
22,9,5,20,11,227,11,42,2,3,1,0,1,0,0,0,1,0,0
21,9,6,16,12,185,13,47,2,1,2,0,1,0,0,0,0,1,0
21,8,5,20,10,173,8,56,4,4,3,1,0,0,0,0,0,0,1
34,11,5,32,12,221,14,41,1,1,2,0,0,1,0,0,0,1,0
14,4,8,29,2,164,7,41,2,3,3,0,1,0,0,0,0,0,1
