id,attendance,treatment,grade
77,82.02,FALSE,80.96
78,78.63,TRUE,67.89
79,91.58,FALSE,82.87
80,76.18,TRUE,70.7
81,70.03,TRUE,53.26
82,27.03,TRUE,1.82
83,50.56,TRUE,24.39
84,83.39,FALSE,75.32
85,91.01,FALSE,78.33
86,51.43,TRUE,20.14
87,66.44,TRUE,51.61
88,83.09,FALSE,67.27
89,73.92,TRUE,59.58
90,83.49,FALSE,83.94
91,71.89,TRUE,59.82
92,88.51,FALSE,77.8
93,71.87,TRUE,64.19
94,67.82,TRUE,60.4
95,76.16,TRUE,72.21
96,78.7,TRUE,64.75
97,85.5,FALSE,71.91
98,90.77,FALSE,85.34
99,55.08,TRUE,25.84
100,74.77,TRUE,61.07
101,55.6,TRUE,30.35
102,92.03,FALSE,93.09
103,71.85,TRUE,59.1
104,59.96,TRUE,37.85
105,75.68,TRUE,69.21
106,78.62,TRUE,71.82
107,87.17,FALSE,75.85
108,57.87,TRUE,34.84
109,73.65,TRUE,62.62
110,85.26,FALSE,72.31
111,94.2,FALSE,91.01
112,85.33,FALSE,82.36
113,70.65,TRUE,65.6
114,50.18,TRUE,27.5
115,70.08,TRUE,60.87
116,91.37,FALSE,76.74
117,60.08,TRUE,34.76
118,95.14,FALSE,93.63
119,81.45,FALSE,66.76
120,80.68,FALSE,57.66
121,96.81,FALSE,87.82
122,53.01,TRUE,22.24
123,85.15,FALSE,68.95
124,80.96,FALSE,65.67
125,60.93,TRUE,36.37
126,77.18,TRUE,65.57
127,64.05,TRUE,51.15
128,66.8,TRUE,52.73
129,69.58,TRUE,57.04
130,64.24,TRUE,41.28
131,67.98,TRUE,65.98
132,81.63,FALSE,74.21
133,73.3,TRUE,65.44
134,72.82,TRUE,51.69
135,79.35,TRUE,71.52
136,90.2,FALSE,81.36
137,88.21,FALSE,84.39
138,81.83,FALSE,74.45
139,87.95,FALSE,84.45
140,79.78,TRUE,76.78
141,82.19,FALSE,68.37
142,78.48,TRUE,68.93
143,66.61,TRUE,52.54
144,61.24,TRUE,32.48
145,27.99,TRUE,2.91
146,76.46,TRUE,77.42
147,80.75,FALSE,62.73
148,74.37,TRUE,71.41
149,80.94,FALSE,66.46
150,96.16,FALSE,97.12
151,37.21,TRUE,9.29
152,87.84,FALSE,79.22
153,90.9,FALSE,89.12
154,70.46,TRUE,51.9
155,75.81,TRUE,65.85
156,99.28,FALSE,86.37
157,77.03,TRUE,77.24
158,66.45,TRUE,50.79
159,53.24,TRUE,26.21
160,45.28,TRUE,18.2
161,83.58,FALSE,63.19
162,59.13,TRUE,36.1
163,78.74,TRUE,67.96
164,83.99,FALSE,68
165,99.48,FALSE,92.46
166,87.27,FALSE,90.7
167,64.69,TRUE,49.13
168,64.37,TRUE,40.86
169,61.36,TRUE,46.09
170,89.28,FALSE,86.84
171,71.98,TRUE,41.78
172,97.4,FALSE,92.98
173,64.75,TRUE,48.63
174,59.33,TRUE,38.65
175,71.51,TRUE,56.49
176,59.22,TRUE,29.44
177,68.79,TRUE,48.3
178,57.59,TRUE,31.39
179,47.1,TRUE,11.71
180,74.57,TRUE,62.22
181,90.81,FALSE,83.54
182,66.36,TRUE,44.17
183,81.98,FALSE,79.18
184,34.38,TRUE,7.64
185,94.86,FALSE,83.11
186,82.21,FALSE,75.71
187,66.26,TRUE,46.36
188,77.94,TRUE,64.06
189,84.93,FALSE,71.11
190,80.49,FALSE,73.05
191,61.11,TRUE,42.12
192,60.31,TRUE,37.29
193,69.32,TRUE,47.25
194,85.64,FALSE,77.34
195,59.85,TRUE,37.9
196,85.95,FALSE,71.55
197,71.49,TRUE,52.99
198,80.81,FALSE,59.06
199,80.01,FALSE,57.09
200,88.93,FALSE,91.27
201,72.91,TRUE,69.45
202,68.62,TRUE,42.88
203,90.45,FALSE,81.55
204,79.69,TRUE,66.84
205,74.63,TRUE,66.29
206,62.03,TRUE,43.8
207,74.06,TRUE,62.3
208,66.47,TRUE,54.45
209,90.65,FALSE,80.75
210,58.94,TRUE,35.65
211,58.73,TRUE,40.34
212,70.11,TRUE,58.26
213,39.04,TRUE,13.79
214,66.67,TRUE,45.34
215,69.83,TRUE,52.02
216,69.75,TRUE,50.96
217,65.91,TRUE,48.21
218,48.74,TRUE,26.2
219,65.55,TRUE,44.01
220,60.23,TRUE,38.03
221,91.03,FALSE,82.51
222,81.53,FALSE,57.87
223,91.84,FALSE,80.5
224,69.97,TRUE,51.92
225,66.66,TRUE,49.41
226,51.34,TRUE,25.38
227,81.19,FALSE,75.33
228,72.07,TRUE,50.25
229,95.83,FALSE,80.84
230,68.19,TRUE,39.17
231,85.73,FALSE,81.07
232,79.42,TRUE,82.38
233,67.13,TRUE,44.92
234,60.14,TRUE,38.77
235,80.49,FALSE,61.25
236,60.03,TRUE,44.3
237,85.52,FALSE,74.54
238,56.24,TRUE,34.23
239,75.31,TRUE,71.74
240,68.63,TRUE,59.64
241,65.11,TRUE,38.21
242,86.17,FALSE,82.39
243,56.1,TRUE,26.72
244,87.53,FALSE,83.09
245,68.62,TRUE,42.53
246,87.94,FALSE,83.71
247,79.54,TRUE,69.68
248,94.48,FALSE,78.4
249,72.68,TRUE,50.98
250,51.05,TRUE,19.2
251,71.56,TRUE,60.62
252,95.85,FALSE,85.65
253,85.12,FALSE,79.42
254,91.39,FALSE,84.84
255,81.47,FALSE,68.43
256,67.85,TRUE,52.13
257,68.62,TRUE,55.44
258,84.57,FALSE,73.51
259,89.15,FALSE,82.32
260,78.42,TRUE,84.83
261,50.3,TRUE,30.2
262,74.74,TRUE,66.36
263,85.5,FALSE,78.18
264,83.51,FALSE,72.34
265,82.68,FALSE,64.47
266,57.51,TRUE,32.96
267,35.13,TRUE,8.04
268,65.75,TRUE,36.35
269,82.3,FALSE,65.72
270,75.94,TRUE,64.85
271,83.34,FALSE,63.9
272,77.9,TRUE,60.62
273,84.32,FALSE,75.95
274,85.47,FALSE,52.43
275,72.38,TRUE,70.16
276,74.73,TRUE,72.85
277,83.51,FALSE,64.12
278,94.68,FALSE,82.27
279,74.62,TRUE,67.01
280,86.37,FALSE,67.17
281,48.04,TRUE,17.81
282,89.14,FALSE,81.27
283,46.65,TRUE,15.3
284,85.5,FALSE,69.99
285,69.22,TRUE,47.13
286,53.64,TRUE,32.21
287,83.72,FALSE,72.1
288,63.04,TRUE,42.99
289,76.81,TRUE,72.13
290,91.02,FALSE,91.45
291,79.93,TRUE,71.58
292,79.01,TRUE,77.46
293,87.6,FALSE,78.06
294,76.2,TRUE,80.55
295,68.38,TRUE,51.99
296,51.96,TRUE,26.19
297,46.09,TRUE,20.47
298,73.24,TRUE,57.62
299,45.42,TRUE,18.06
300,86.96,FALSE,82.21
301,98.36,FALSE,84.29
302,83.04,FALSE,60.64
303,83.68,FALSE,72.4
304,98.27,FALSE,84.97
305,62.83,TRUE,33.12
306,87.2,FALSE,78.56
307,79.21,TRUE,71.8
308,94.72,FALSE,83.84
309,88.31,FALSE,82.03
310,77.25,TRUE,70.22
311,52.6,TRUE,24.3
312,20,TRUE,0.81
313,75.29,TRUE,56.17
314,77.95,TRUE,67.09
315,83.59,FALSE,66.7
316,36.41,TRUE,12.9
317,92.39,FALSE,92.85
318,68.89,TRUE,49.98
319,76.06,TRUE,80.98
320,84.95,FALSE,72.82
321,94.17,FALSE,85.05
322,70.51,TRUE,65.99
323,75.93,TRUE,65.58
324,87.86,FALSE,81.76
325,72.6,TRUE,54.09
326,80.02,FALSE,76.41
327,85.88,FALSE,64.69
328,64.37,TRUE,39.64
329,80.92,FALSE,61.98
330,96.23,FALSE,85.64
331,99.13,FALSE,84.83
332,84.58,FALSE,76.84
333,55.4,TRUE,33.21
334,51.14,TRUE,29.41
335,68.7,TRUE,63.07
336,94.16,FALSE,89.15
337,71.09,TRUE,63.51
338,30.79,TRUE,4.51
339,100,FALSE,83.84
340,87.17,FALSE,68.23
341,47.41,TRUE,17.88
342,63.68,TRUE,42.51
343,56.78,TRUE,24.54
344,65.43,TRUE,45.33
345,63.43,TRUE,42.22
346,74.91,TRUE,55.31
347,88.74,FALSE,84.89
348,91.87,FALSE,77.89
349,74.5,TRUE,65.9
350,82.3,FALSE,79.24
351,88.55,FALSE,63.83
352,66.37,TRUE,60.67
353,72.17,TRUE,52.9
354,90.88,FALSE,83.33
355,83.7,FALSE,81.43
356,76.58,TRUE,62.55
357,93.4,FALSE,84.88
358,80.17,FALSE,69.42
359,86.26,FALSE,69.91
360,97.68,FALSE,100.83
361,80.16,FALSE,73.21
362,83.93,FALSE,87.12
363,84.9,FALSE,79.65
364,62.96,TRUE,52.46
365,72.39,TRUE,67.53
366,91.96,FALSE,88.58
367,67.38,TRUE,45.78
368,77.14,TRUE,64.88
369,71.91,TRUE,72.21
370,60.36,TRUE,42.76
371,72.97,TRUE,66.71
372,31.21,TRUE,5.45
373,72.94,TRUE,61.49
374,92.11,FALSE,83.4
375,91.84,FALSE,85.79
376,96.67,FALSE,82.63
377,87.51,FALSE,85.73
378,86.72,FALSE,82.96
379,84.94,FALSE,80.28
380,58.54,TRUE,41.22
381,92.29,FALSE,89.35
382,74.75,TRUE,55.43
383,64.7,TRUE,41.68
384,77.68,TRUE,72.49
385,71.8,TRUE,67.49
386,89.05,FALSE,83.36
387,92.41,FALSE,84.63
388,69.77,TRUE,58.54
389,82.1,FALSE,75.09
390,68.49,TRUE,55.04
391,67.64,TRUE,47.67
392,38.69,TRUE,15.09
393,82.09,FALSE,70.26
394,57.53,TRUE,34.6
395,85.52,FALSE,74.07
396,93.91,FALSE,84.24
397,91.64,FALSE,81.49
398,77.89,TRUE,74.88
399,73.16,TRUE,61.17
400,87.43,FALSE,75.99
401,70.56,TRUE,52.3
402,59.3,TRUE,42.41
403,92.47,FALSE,81.08
404,96.78,FALSE,88.36
405,92.25,FALSE,93.87
406,88.41,FALSE,68.19
407,80.29,FALSE,69.74
408,53.94,TRUE,28.92
409,69.64,TRUE,56.07
410,84.39,FALSE,82.11
411,75.94,TRUE,64.08
412,83.51,FALSE,76.61
413,48.78,TRUE,20.56
414,47.57,TRUE,20.08
415,91.31,FALSE,86.26
416,86.75,FALSE,73.26
417,95.37,FALSE,89.24
418,66.32,TRUE,46.18
419,70.5,TRUE,55.79
420,87.88,FALSE,80.5
421,59.94,TRUE,31.49
422,93.56,FALSE,89.77
423,90.8,FALSE,95.56
424,76,TRUE,61.88
425,64.23,TRUE,42.78
426,58.42,TRUE,28.77
427,51.07,TRUE,26.51
428,91.85,FALSE,80.53
429,58.98,TRUE,52.34
430,77.19,TRUE,70.95
431,79.5,TRUE,76.13
432,94.3,FALSE,81.71
433,64.59,TRUE,41.77
434,67.83,TRUE,52.04
435,75.52,TRUE,63.58
436,90.24,FALSE,72.47
437,87.85,FALSE,69.79
438,75.43,TRUE,67.68
439,49.43,TRUE,14.32
440,81.43,FALSE,61.32
441,88.23,FALSE,84.5
442,64.53,TRUE,36.57
443,66.14,TRUE,51.61
444,40.66,TRUE,18.77
445,35.3,TRUE,9.52
446,77.79,TRUE,81.59
447,75.17,TRUE,61.16
448,85.85,FALSE,79.71
449,87.96,FALSE,77.88
450,81.16,FALSE,75.76
451,70.62,TRUE,80.11
452,75.7,TRUE,66.08
453,71.19,TRUE,63.9
454,71.23,TRUE,57.14
455,58.85,TRUE,35.43
456,79.98,TRUE,72.37
457,29.47,TRUE,1.14
458,65.89,TRUE,48.17
459,91.57,FALSE,89.97
460,80.04,FALSE,66.68
461,64,TRUE,45.11
462,82.14,FALSE,63.89
463,68.04,TRUE,47.86
464,40.85,TRUE,18.64
465,85.53,FALSE,79.87
466,75.51,TRUE,71.37
467,84.4,FALSE,89.71
468,90.94,FALSE,88.83
469,96.31,FALSE,95.17
470,71.3,TRUE,54.8
471,61.84,TRUE,40.34
472,60.86,TRUE,37.74
473,93.26,FALSE,88.58
474,90.96,FALSE,80.31
475,91.07,FALSE,82.51
476,86.01,FALSE,68.45
477,71.83,TRUE,56.08
478,62.02,TRUE,47.85
479,52,TRUE,33.74
480,61.48,TRUE,37.92
481,86.17,FALSE,80.06
482,90.41,FALSE,89.62
483,80.42,FALSE,68.43
484,73.09,TRUE,56.39
485,58.61,TRUE,28.81
486,87.97,FALSE,85.11
487,69.25,TRUE,57.33
488,39.82,TRUE,6.89
489,88.57,FALSE,77.67
490,79.15,TRUE,85.04
491,95.88,FALSE,84.38
492,69.33,TRUE,59.42
493,85.39,FALSE,84.62
494,88.84,FALSE,81.03
495,87.15,FALSE,84.09
496,65.73,TRUE,46.4
497,97.74,FALSE,95.49
498,82.36,FALSE,86.36
499,89.79,FALSE,84.63
500,89.24,FALSE,84.97
501,65.01,TRUE,43.63
502,67.89,TRUE,49.99
503,77.15,TRUE,62.54
504,63.46,TRUE,46.47
505,84.87,FALSE,66.91
506,97.16,FALSE,99.54
507,79.29,TRUE,60.18
508,81.44,FALSE,69.43
509,72.09,TRUE,62.28
510,66.17,TRUE,50.95
511,52.8,TRUE,24.77
512,74.31,TRUE,84.27
513,83.51,FALSE,71.81
514,80.43,FALSE,63.58
515,55.84,TRUE,35.7
516,87.98,FALSE,85.03
517,89.15,FALSE,82.5
518,68.75,TRUE,55.39
519,61.56,TRUE,39.46
520,56.91,TRUE,27.77
521,74.97,TRUE,67.75
522,78.45,TRUE,71.81
523,47.27,TRUE,16.1
524,91.13,FALSE,84.99
525,50.25,TRUE,29.75
526,85.27,FALSE,81.26
527,72.6,TRUE,54.08
528,64.85,TRUE,51.27
529,72.59,TRUE,61.15
530,83.54,FALSE,74.82
531,71.77,TRUE,49.99
532,87.82,FALSE,77.88
533,85.59,FALSE,63.16
534,48.82,TRUE,19.6
535,68.02,TRUE,47.46
536,88.52,FALSE,82.63
537,75.07,TRUE,62.07
538,61.96,TRUE,42.06
539,88.35,FALSE,79.31
540,81.67,FALSE,62.72
541,50.72,TRUE,25.59
542,82.86,FALSE,73.8
543,95.2,FALSE,88.83
544,66.22,TRUE,52.75
545,93.49,FALSE,92.54
546,93.84,FALSE,87.22
547,73.84,TRUE,51.23
548,74.1,TRUE,57.65
549,75.8,TRUE,69.64
550,69.16,TRUE,54.56
551,85.81,FALSE,82.35
552,72.86,TRUE,64.5
553,83.66,FALSE,69.78
554,76.45,TRUE,67.12
555,91.14,FALSE,83.39
556,77.3,TRUE,65.15
557,73.19,TRUE,56.26
558,86.18,FALSE,82.69
559,74.4,TRUE,71.83
560,85.49,FALSE,75.03
561,85.43,FALSE,68.78
562,78.85,TRUE,73.35
563,64.61,TRUE,43.08
564,78.86,TRUE,82.53
565,71.4,TRUE,41.88
566,51.51,TRUE,21.44
567,80.18,FALSE,67.99
568,77.09,TRUE,75.37
569,64.11,TRUE,41.33
570,92.15,FALSE,88.01
571,63.3,TRUE,49.64
572,83.95,FALSE,63.14
573,91.04,FALSE,88.87
574,95.86,FALSE,85.7
575,86.35,FALSE,89.69
576,91.35,FALSE,81.88
577,91.43,FALSE,85.51
578,91.74,FALSE,80.96
579,63.27,TRUE,47.66
580,88.38,FALSE,75.5
581,84.99,FALSE,64.52
582,82.13,FALSE,74.3
583,71.41,TRUE,52.47
584,81.18,FALSE,76.02
585,55.72,TRUE,28.59
586,80.3,FALSE,51.64
587,97.75,FALSE,100
588,76.96,TRUE,72.54
589,96.33,FALSE,89
590,52.48,TRUE,26.43
591,86.75,FALSE,70.57
592,90.82,FALSE,91.27
593,84.73,FALSE,73.88
594,62.26,TRUE,34.74
595,70.06,TRUE,56.77
596,89.35,FALSE,75.03
597,75.35,TRUE,74.02
598,62.65,TRUE,44.89
599,34.06,TRUE,7.2
600,72.67,TRUE,56.18
601,86.17,FALSE,75.47
602,80.47,FALSE,54.04
603,56.27,TRUE,34.79
604,52.69,TRUE,31.66
605,65.48,TRUE,49.61
606,78.92,TRUE,77.29
607,91.91,FALSE,95.98
608,81.37,FALSE,66.89
609,84.12,FALSE,80.65
610,68.43,TRUE,58.16
611,59.76,TRUE,43.08
612,91.29,FALSE,96.3
613,82.71,FALSE,61.1
614,72.45,TRUE,52.67
615,81.57,FALSE,60.63
616,91.69,FALSE,86.71
617,99.15,FALSE,87.17
618,75.66,TRUE,75.24
619,75.83,TRUE,60.12
620,29.23,TRUE,1.83
621,97.04,FALSE,89.98
622,85.67,FALSE,80.42
623,54.19,TRUE,26.78
624,68.1,TRUE,43.69
625,72.82,TRUE,57.44
626,85.12,FALSE,62.38
627,71.19,TRUE,58.75
628,79.37,TRUE,77
629,72.98,TRUE,56.04
630,84.54,FALSE,74.5
631,39.73,TRUE,13.28
632,81.47,FALSE,64.59
633,80.49,FALSE,64.23
634,81.21,FALSE,69.04
635,80.41,FALSE,72.09
636,73.3,TRUE,60.82
637,67.21,TRUE,49.82
638,59.83,TRUE,52.31
639,79.9,TRUE,68.52
640,88.86,FALSE,84.71
641,93.55,FALSE,82.3
642,74.38,TRUE,66.05
643,74.18,TRUE,69.02
644,73.06,TRUE,49.3
645,77.01,TRUE,68.47
646,73.18,TRUE,81.88
647,73.38,TRUE,59.82
648,86.81,FALSE,67.86
649,66.9,TRUE,49.35
650,90.59,FALSE,82.4
651,93.79,FALSE,90.51
652,77.43,TRUE,79.74
653,90.68,FALSE,82.17
654,62.37,TRUE,34.86
655,77.86,TRUE,80.98
656,86.98,FALSE,79.97
657,77.21,TRUE,55.91
658,36.85,TRUE,11.37
659,77.27,TRUE,72.15
660,80.88,FALSE,57.24
661,67.39,TRUE,49.68
662,49.68,TRUE,30.32
663,90.01,FALSE,81.22
664,78.49,TRUE,63.14
665,48.19,TRUE,21.44
666,68.12,TRUE,59.88
667,78.56,TRUE,73.87
668,92.54,FALSE,86.98
669,80.07,FALSE,69.5
670,78.51,TRUE,69.84
671,76.7,TRUE,71.19
672,30.27,TRUE,6.76
673,82.9,FALSE,83.15
674,94.65,FALSE,95.66
675,64.48,TRUE,43.21
676,77.24,TRUE,66.1
677,78.84,TRUE,80.43
678,60.96,TRUE,45.7
679,99.56,FALSE,99.18
680,84.21,FALSE,71.59
681,77.97,TRUE,74.37
682,61.74,TRUE,36.97
683,79.79,TRUE,70.48
684,89.7,FALSE,78.18
685,67.41,TRUE,44.42
686,74.82,TRUE,63.13
687,73.04,TRUE,63.29
688,45.68,TRUE,17.96
689,84.05,FALSE,63.09
690,92.07,FALSE,80.74
691,92.34,FALSE,86.24
692,89.9,FALSE,71.53
693,93.24,FALSE,89.77
694,76.11,TRUE,67.55
695,77.02,TRUE,68.55
696,57.12,TRUE,26.03
697,90.7,FALSE,85.13
698,79.13,TRUE,75.13
699,62.74,TRUE,50.63
700,81.29,FALSE,73.25
701,56.9,TRUE,35.87
702,59.4,TRUE,48.46
703,85.28,FALSE,74.66
704,87.05,FALSE,75.6
705,78.64,TRUE,60.53
706,75.07,TRUE,85.41
707,76.21,TRUE,80.36
708,84.41,FALSE,78.29
709,88.86,FALSE,81.88
710,91.02,FALSE,84.17
711,53.19,TRUE,29.81
712,89.5,FALSE,81.57
713,37.36,TRUE,12.87
714,77.72,TRUE,65.81
715,84.01,FALSE,68.87
716,90.46,FALSE,84.89
717,75.54,TRUE,60.34
718,79.32,TRUE,89.21
719,72.11,TRUE,50.19
720,84.9,FALSE,73.38
721,61.13,TRUE,36.61
722,58.86,TRUE,37.16
723,48.25,TRUE,22.98
724,71.25,TRUE,61.13
725,84.51,FALSE,52.89
726,76.62,TRUE,51.91
727,94.99,FALSE,87.17
728,72.65,TRUE,54.27
729,82.36,FALSE,66.88
730,66.64,TRUE,55.08
731,79.91,TRUE,79.39
732,93.19,FALSE,89.75
733,74.49,TRUE,62.7
734,92.96,FALSE,90.25
735,53.69,TRUE,33.98
736,96.2,FALSE,96.53
737,77.77,TRUE,82.93
738,65.41,TRUE,36.77
739,94.25,FALSE,84.34
740,88.39,FALSE,86.33
741,83.54,FALSE,69.17
742,71.97,TRUE,50.03
743,81.01,FALSE,56.23
744,90.02,FALSE,84.19
745,66.56,TRUE,62.16
746,83.8,FALSE,72.86
747,64.23,TRUE,46.25
748,83.52,FALSE,71.61
749,89.19,FALSE,83.63
750,76.93,TRUE,61.35
751,60.59,TRUE,39.51
752,70.31,TRUE,47.49
753,76.29,TRUE,67.56
754,96.81,FALSE,89.41
755,75.94,TRUE,64.65
756,88.15,FALSE,83.3
757,78.8,TRUE,85.36
758,69.9,TRUE,66.43
759,94.24,FALSE,92.82
760,58.77,TRUE,30.04
761,70.21,TRUE,54.28
762,51.03,TRUE,27.1
763,83.99,FALSE,71.93
764,83.31,FALSE,57.82
765,89.6,FALSE,76.09
766,81.39,FALSE,74.34
767,52.29,TRUE,20.44
768,52.76,TRUE,27.29
769,96.21,FALSE,96.26
770,55.86,TRUE,24.14
771,49.49,TRUE,29.51
772,61.43,TRUE,44.69
773,88.04,FALSE,80.43
774,48.61,TRUE,27.39
775,58.44,TRUE,34.05
776,60.24,TRUE,40.16
777,81.69,FALSE,59.76
778,55.18,TRUE,34.65
779,73.02,TRUE,69.25
780,76.45,TRUE,74.3
781,34.6,TRUE,11.43
782,57.68,TRUE,40
783,82.38,FALSE,57.94
784,94.01,FALSE,83.48
785,62.17,TRUE,39.09
786,82.62,FALSE,65.23
787,53.56,TRUE,29.48
788,65.17,TRUE,40.85
789,74.77,TRUE,70.68
790,76.76,TRUE,61.01
791,81.38,FALSE,69.6
792,71.22,TRUE,49.29
793,90.75,FALSE,91.33
794,59.97,TRUE,37.88
795,81.89,FALSE,60.41
796,86.71,FALSE,71.57
797,80.83,FALSE,68.22
798,95.8,FALSE,87.34
799,81.19,FALSE,60.72
800,73.12,TRUE,58.22
801,83.98,FALSE,72.48
802,82.15,FALSE,67.82
803,67.19,TRUE,49.68
804,70.73,TRUE,57.29
805,85.82,FALSE,84.5
806,62.71,TRUE,45.39
807,71.63,TRUE,58.59
808,59.61,TRUE,33.63
809,92.75,FALSE,81.25
810,78.65,TRUE,75.49
811,83.86,FALSE,75.65
812,89.99,FALSE,87.4
813,57.28,TRUE,42.46
814,65.23,TRUE,34.19
815,91.86,FALSE,82.05
816,93.25,FALSE,83.73
817,95.63,FALSE,92.78
818,73.21,TRUE,59.61
819,91.07,FALSE,76.98
820,81.63,FALSE,60.93
821,81.19,FALSE,53.12
822,68.54,TRUE,58.73
823,90.91,FALSE,84.07
824,76.95,TRUE,75.21
825,86.74,FALSE,80.39
826,70.98,TRUE,66.74
827,87.97,FALSE,80.33
828,74.64,TRUE,83.51
829,61.79,TRUE,42.88
830,89.59,FALSE,84.94
831,78.96,TRUE,77.55
832,68.06,TRUE,54.94
833,76.84,TRUE,68.11
834,96.89,FALSE,85.64
835,57.71,TRUE,37.84
836,74.92,TRUE,66.75
837,77.01,TRUE,65.25
838,66.3,TRUE,51.04
839,79.08,TRUE,65.02
840,89.54,FALSE,81.63
841,85.59,FALSE,78.83
842,74.12,TRUE,62.25
843,71.45,TRUE,67.25
844,89.43,FALSE,74
845,82.55,FALSE,66.06
846,87.75,FALSE,79.53
847,92.05,FALSE,83.17
848,85.82,FALSE,78.57
849,72.31,TRUE,51.47
850,69.42,TRUE,53.12
851,62.15,TRUE,38.15
852,70.87,TRUE,51.4
853,72.14,TRUE,61.5
854,52,TRUE,21.2
855,78.19,TRUE,86.17
856,70.03,TRUE,63.02
857,88.53,FALSE,67.43
858,96.11,FALSE,93.76
859,79.05,TRUE,75.42
860,63.15,TRUE,30.3
861,64.81,TRUE,43.52
862,57.58,TRUE,33.6
863,82.66,FALSE,80.33
864,91.68,FALSE,89.03
865,69.02,TRUE,61.12
866,94.39,FALSE,91.25
867,60.96,TRUE,36.1
868,59.16,TRUE,42.63
869,52.45,TRUE,28.44
870,79.18,TRUE,86.72
871,85.82,FALSE,80.84
872,65.7,TRUE,50.74
873,31.91,TRUE,7.09
874,91.63,FALSE,83.5
875,82.54,FALSE,68.31
876,72.32,TRUE,58.48
877,73.92,TRUE,62.33
878,82.65,FALSE,85.58
879,98.36,FALSE,99.7
880,80.07,FALSE,68.01
881,91.46,FALSE,80.74
882,74.56,TRUE,71.86
883,87.84,FALSE,61.94
884,77.34,TRUE,62.67
885,86.68,FALSE,76.98
886,82.1,FALSE,58.29
887,81.64,FALSE,62.88
888,40.02,TRUE,15.68
889,58.8,TRUE,37.79
890,79.31,TRUE,70.74
891,91.87,FALSE,85.29
892,49.14,TRUE,29.76
893,93.63,FALSE,91.05
894,91.46,FALSE,84.56
895,87.11,FALSE,82.37
896,89.35,FALSE,88.48
897,88.6,FALSE,80.11
898,41.4,TRUE,10.33
899,77.14,TRUE,60.68
900,86.36,FALSE,80.03
901,60,TRUE,33.88
902,71.26,TRUE,53.7
903,91.81,FALSE,90.7
904,84.31,FALSE,64.11
905,63.56,TRUE,43.19
906,55.41,TRUE,36.21
907,75.44,TRUE,68.84
908,95.61,FALSE,81.47
909,86.55,FALSE,74.26
910,79.03,TRUE,66.86
911,64.63,TRUE,49.34
912,74.05,TRUE,70.5
913,74.07,TRUE,65.18
914,67.07,TRUE,49.45
915,80.1,FALSE,67.59
916,82.41,FALSE,75.42
917,73.34,TRUE,66.68
918,87.55,FALSE,84.28
919,80.22,FALSE,54.61
920,83.86,FALSE,75.07
921,88.25,FALSE,87.16
922,52.54,TRUE,20.47
923,92.32,FALSE,98.6
924,83,FALSE,64.05
925,68.77,TRUE,45.92
926,77.18,TRUE,70.93
927,70.12,TRUE,42.18
928,92.65,FALSE,86.43
929,82.43,FALSE,80.3
930,95.48,FALSE,91.18
931,87.89,FALSE,86.99
932,45.95,TRUE,20.1
933,70.08,TRUE,55.61
