treat,age,educ,race,married,nodegree,re74,re75,re78
0,40,11,white,1,1,20666.35,8502.242,25564.67
0,27,7,white,1,1,3064.293,8461.065,11149.45
0,36,9,black,1,1,13256.4,8457.484,0
0,39,6,hispan,1,1,13279.91,8441.371,25048.94
0,21,9,white,1,1,11156.07,8441.371,1213.214
0,29,12,white,1,0,11199.17,8081.516,0
0,22,13,hispan,0,0,6404.843,7882.79,9453.017
0,25,10,white,1,1,13634.54,7793.274,11688.82
0,27,12,white,1,0,12270.89,7709.129,7806.829
0,45,8,white,1,1,22415.97,7635.726,15931.37
0,26,12,white,1,0,2345.242,7565.903,2838.713
0,27,12,white,1,0,9788.497,7496.081,14038.4
0,33,8,white,1,1,12312.03,7474.597,25514.43
0,25,12,white,1,0,11381.38,7467.435,4162.756
0,49,8,white,1,1,6459.703,7431.629,7503.896
0,40,3,hispan,1,1,7576.485,7426.258,12104.06
0,22,12,black,1,0,9729.719,7372.548,2231.367
0,25,5,white,1,1,7891.927,7293.774,14617.67
0,25,12,white,1,0,11516.57,7263.339,19588.74
0,21,12,white,1,0,13601.23,7202.468,10746.03
0,33,9,hispan,1,1,11959.36,7087.887,25564.67
0,20,12,black,1,0,9555.344,7055.661,0
0,19,11,white,1,1,4306.468,6978.677,837.871
0,25,12,black,1,0,295.8493,6942.871,461.0507
0,29,12,white,1,0,15303.83,6932.129,24290.87
0,20,12,white,1,0,3558.029,6797.855,6680.802
0,29,6,hispan,1,1,8542.403,6701.177,7196.528
0,25,13,white,1,0,19259.59,6652.839,13015.82
0,41,15,white,1,0,25862.32,6563.323,24647
0,39,10,white,1,1,22745.13,6493.5,25564.67
0,33,12,white,1,0,10819.07,6369.968,2936.243
0,29,8,white,1,1,9169.369,6352.065,20575.86
0,21,11,white,1,1,10679.96,6276.871,10923.35
0,31,12,white,1,0,23652.27,6228.532,22403.81
0,36,12,black,1,0,11040.47,6221.371,7215.739
0,25,7,white,1,1,5597.625,6099.629,122.6513
0,35,7,white,1,1,10715.23,6087.097,15177.73
0,22,9,white,1,1,5683.833,6038.758,4742.025
0,31,2,hispan,1,1,3262.179,5965.355,9732.307
0,40,15,white,1,0,10907.24,5922.387,6238.962
0,47,3,white,1,1,9047.894,5911.645,6145.865
0,26,8,hispan,0,1,3168.134,5872.258,11136.15
0,42,7,white,1,1,10971.89,5806.016,9241.702
0,53,12,white,0,0,17104.4,5775.581,19965.56
0,30,17,black,0,0,17827.37,5546.419,14421.13
0,28,10,white,1,1,10415.46,5544.629,10289.41
0,46,11,white,1,1,14753.28,5299.355,0
0,28,12,white,0,0,8256.35,5279.661,21602.88
0,27,12,hispan,1,0,17604.01,5222.371,25564.67
0,25,10,white,1,1,4335.857,5181.194,12418.81
0,38,8,white,1,1,11242.27,5174.032,0
0,26,12,hispan,0,0,7968.338,5109.581,4181.966
0,54,12,white,0,0,7165.039,5012.903,0
0,38,8,hispan,1,1,22606.02,4978.887,8720.065
0,23,17,white,0,0,0,4876.839,16747.08
0,23,8,white,1,1,3595.255,4866.097,2782.559
0,23,12,white,1,0,11690.95,4764.048,14065
0,25,12,hispan,1,0,8746.167,4762.258,379.7757
0,25,15,white,1,0,7386.436,4738.984,12705.49
0,37,11,hispan,0,1,615.2098,4713.919,0
0,40,12,white,1,0,18389.68,4688.855,21857.05
0,19,10,white,0,1,5777.878,4672.742,135.9508
0,48,7,white,1,1,13326.93,4636.935,0
0,19,12,white,0,0,8530.648,4620.823,0
0,16,9,white,0,1,2539.21,4579.645,0
0,29,10,white,1,1,713.1731,4542.048,7781.708
0,30,16,white,0,0,3093.682,4468.645,15538.29
0,22,11,white,1,1,8761.841,4463.274,10642.59
0,22,10,white,0,1,17268.98,4400.613,2453.026
0,47,10,black,1,1,13311.26,4397.032,19330.14
0,25,12,hispan,1,0,2266.872,4361.226,3020.473
0,47,10,black,0,1,21918.32,4323.629,19438.02
0,24,12,black,1,0,8573.752,4293.194,0
0,20,12,black,1,0,2648.929,4273.5,0
0,28,12,black,0,0,16722.34,4253.806,7314.747
0,47,11,white,0,1,8060.424,4232.323,3358.873
0,50,0,white,1,1,10162.72,4218,220.1813
0,18,12,white,0,0,2217.89,4191.145,8957.978
0,21,12,white,0,0,9665.063,4110.581,1687.564
0,47,11,white,1,1,23924.61,4096.258,17358.85
0,21,12,white,0,0,2827.222,4056.871,5937.505
0,34,11,white,1,1,0,4010.323,18133.18
0,19,12,white,1,0,5817.063,3919.016,1066.919
0,44,13,white,1,0,8032.994,3881.419,3104.704
0,21,15,white,1,0,6951.479,3879.629,0
0,20,12,black,0,0,5099.971,3842.032,12718.79
0,51,11,white,0,1,48.98167,3813.387,1525.014
0,28,13,white,0,0,5260.631,3790.113,9253.524
0,24,15,white,0,0,12746.99,3743.565,0
0,28,8,hispan,1,1,8305.332,3718.5,0
0,20,11,white,1,1,5822.941,3532.306,11075.56
0,29,12,white,1,0,14288.93,3503.661,8133.407
0,23,12,white,1,0,14347.71,3482.177,3818.445
0,20,11,black,0,1,0,3480.387,5495.665
0,42,7,white,1,1,4324.102,3457.113,9856.436
0,43,12,white,1,0,14328.12,3453.532,18781.9
0,27,13,white,0,0,16406.9,3426.677,5344.937
0,27,4,hispan,1,1,626.9654,3410.565,3367.739
0,25,12,white,1,0,21469.65,3405.194,7981.201
0,18,12,white,0,0,4729.67,3328.21,12602.05
0,31,16,white,1,0,25862.32,3254.806,25564.67
0,27,12,white,1,0,4043.927,3231.532,7240.86
0,18,11,white,0,1,0,3226.161,15814.63
0,24,7,white,1,1,7860.578,3213.629,0
0,23,12,white,1,0,7856.66,3213.629,5535.564
0,50,12,white,1,0,19929.66,3190.355,18597.19
0,19,12,white,0,0,99.92261,3172.452,15436.33
0,23,10,white,1,1,15811.28,3145.597,6398.556
0,51,12,white,1,0,21001.38,3140.226,16015.6
0,19,11,black,0,1,5607.422,3054.29,94.5745
0,20,10,white,1,1,3099.56,2970.145,21141.83
0,20,11,hispan,0,1,2868.367,2968.355,7403.41
0,21,12,white,0,0,8128.998,2939.71,0
0,39,10,white,1,1,0,2886,18761.22
0,36,5,white,0,1,3814.692,2873.468,2751.527
0,19,9,black,0,1,1079.556,2873.468,14344.29
0,42,6,hispan,1,1,2425.572,2832.29,1907.745
0,20,7,white,0,1,1902.448,2792.903,6098.578
0,23,12,white,1,0,4954.986,2771.419,0
0,35,12,white,1,0,1469.45,2719.5,0
0,18,12,white,0,0,881.6701,2696.226,12120.31
0,43,8,white,1,1,18338.74,2674.742,6395.601
0,37,14,white,1,0,18501.36,2638.935,13429.58
0,24,10,white,1,1,4719.874,2565.532,2173.736
0,51,12,white,0,0,20742.76,2538.677,1019.631
0,22,11,hispan,0,1,7341.373,2535.097,14187.65
0,19,12,white,0,0,336.9939,2518.984,7118.209
0,52,0,hispan,1,1,773.9104,2506.452,0
0,21,12,white,0,0,2903.633,2456.323,4787.834
0,24,12,white,0,0,9784.578,2413.355,0
0,35,8,white,1,1,2241.401,2399.032,9460.406
0,20,13,white,0,0,0,2352.484,0
0,17,7,black,0,1,1054.086,2286.242,1613.677
0,18,10,black,0,1,311.5234,2284.452,8154.095
0,28,12,black,0,0,6285.328,2255.806,7310.313
0,25,14,hispan,1,0,1622.273,2239.694,1892.968
0,40,12,hispan,0,0,13616.9,2228.952,876.2919
0,50,3,white,1,1,3136.786,2203.887,13976.34
0,48,8,white,1,1,16050.31,2116.161,11600.15
0,17,7,hispan,0,1,0,2082.145,6460.621
0,30,12,white,1,0,7347.251,2080.355,14475.81
0,30,7,white,1,1,574.0652,2010.532,366.4762
0,22,11,white,1,1,3030.986,1976.516,0
0,27,12,white,1,0,11493.06,1906.694,13419.24
0,25,9,white,1,1,23377.97,1901.323,1898.879
0,21,14,white,0,0,80.32994,1890.581,6389.69
0,17,10,white,0,1,0,1888.79,19993.64
0,39,7,white,0,1,7786.126,1844.032,9206.237
0,18,9,black,0,1,1183.397,1822.548,803.8833
0,25,12,white,1,0,2721.422,1754.516,1037.364
0,20,8,white,1,1,2360.916,1741.984,0
0,19,13,white,0,0,2366.794,1709.758,0
0,19,11,white,0,1,0,1693.645,9853.481
0,22,12,white,0,0,10137.25,1679.323,25564.67
0,18,11,black,0,1,2068.986,1623.823,20243.38
0,21,10,white,0,1,1767.259,1555.79,7675.312
0,24,12,white,1,0,7643.1,1546.839,3262.82
0,18,11,white,0,1,1273.523,1532.516,12489.75
0,17,10,white,0,1,568.1874,1525.355,6231.573
0,17,10,white,0,1,0,1503.871,7843.773
0,18,10,white,0,1,0,1491.339,237.914
0,53,10,hispan,0,1,7878.212,1489.548,13170.98
0,18,11,black,0,1,1191.234,1478.806,3683.972
0,17,10,hispan,0,1,0,1453.742,6918.716
0,26,12,black,0,0,0,1448.371,0
0,39,5,white,1,1,13082.02,1434.048,18323.81
0,18,12,black,0,0,1579.169,1408.984,3057.416
0,23,13,white,0,0,601.4949,1394.661,4975.505
0,18,8,white,0,1,5023.56,1391.081,6756.166
0,28,10,white,1,1,7578.444,1383.919,2404.261
0,32,4,white,1,1,0,1378.548,0
0,18,11,black,0,1,0,1367.806,33.98771
0,40,10,white,1,1,1543.902,1342.742,0
0,21,14,white,0,0,8456.196,1330.21,16967.26
0,29,10,hispan,0,1,3732.403,1323.048,6694.101
0,31,6,white,0,1,2666.562,1321.258,0
0,46,7,white,1,1,19171.43,1317.677,0
0,20,9,hispan,1,1,0,1283.661,0
0,36,18,white,1,0,3273.935,1269.339,18227.76
0,45,12,white,1,0,16559.72,1265.758,7987.112
0,16,10,white,0,1,1026.656,1224.581,6847.785
0,18,12,white,0,0,818.9735,1208.468,2232.845
0,40,12,hispan,0,0,11867.28,1195.935,3873.121
0,16,9,white,0,1,0,1188.774,2451.548
0,16,10,white,0,1,574.0652,1181.613,5578.418
0,28,5,hispan,1,1,10967.98,1178.032,239.3917
0,20,12,white,0,0,0,1147.597,15554.55
0,19,8,white,1,1,39.18534,1136.855,5327.204
0,16,8,white,0,1,0,1113.581,542.3257
0,20,11,white,1,1,2547.047,1099.258,0
0,35,10,white,1,1,4964.782,1086.726,1745.195
0,32,6,hispan,1,1,979.6334,1036.597,0
0,32,16,black,0,0,17135.75,1031.226,0
0,17,9,black,0,1,0,981.0968,8900.347
0,16,7,white,0,1,0,975.7258,4728.725
0,32,15,white,0,0,489.8167,968.5645,7684.178
0,19,12,white,0,0,815.055,964.9839,12059.73
0,40,12,white,1,0,16851.65,961.4032,17717.94
0,50,7,white,1,1,11473.47,956.0323,0
0,39,11,white,0,1,0,930.9677,0
0,18,8,hispan,0,1,0,902.3226,1306.31
0,39,10,black,0,1,844.444,889.7903,701.9201
0,17,11,hispan,0,1,0,873.6774,7759.542
0,17,5,black,0,1,96.00407,868.3065,0
0,19,12,white,0,0,2425.572,861.1452,2587.499
0,27,15,white,0,0,0,857.5645,3392.86
0,18,11,black,0,1,587.78,841.4516,7933.914
0,20,14,white,1,0,0,805.6452,1454.083
0,20,12,white,1,0,12145.49,791.3226,13683.75
0,19,13,black,0,0,1714.358,785.9516,9067.33
0,24,8,white,1,1,213.5601,760.8871,2340.719
0,27,12,white,1,0,4222.22,751.9355,0
0,19,9,white,0,1,773.9104,676.7419,5647.871
0,52,8,black,1,1,5454.599,666,0
0,18,11,hispan,0,1,0,630.1935,0
0,16,10,hispan,0,1,0,630.1935,3892.332
0,18,12,hispan,0,0,0,630.1935,4843.988
0,45,12,white,0,0,4473.006,608.7097,0
0,21,14,white,0,0,9708.167,594.3871,2256.488
0,36,8,white,1,1,2715.544,585.4355,0
0,21,13,white,0,0,513.3279,578.2742,0
0,41,7,white,1,1,19573.08,565.7419,0
0,18,7,white,0,1,491.776,558.5806,642.8111
0,39,9,white,0,1,11230.52,537.0968,5752.79
0,19,3,white,1,1,0,537.0968,0
0,32,13,white,1,0,12553.02,524.5645,15353.58
0,16,9,white,0,1,0,485.1774,4112.513
0,16,7,white,0,1,658.3136,479.8065,6210.885
0,21,9,black,0,1,1030.574,470.8548,1223.558
0,22,12,white,1,0,12096.51,469.0645,14289.62
0,23,11,hispan,1,1,8946.012,469.0645,4776.012
0,17,8,black,0,1,0,451.1613,0
0,21,8,white,1,1,5699.507,388.5,8844.194
0,18,10,white,0,1,0,386.7097,0
0,24,12,white,1,0,9051.813,327.629,8547.171
0,24,12,black,1,0,4232.016,320.4677,1273.8
0,16,9,white,0,1,0,320.4677,3707.616
0,20,8,white,1,1,621.0876,306.1452,5551.819
0,42,8,white,0,1,17925.33,300.7742,14116.72
0,17,8,hispan,0,1,391.8534,300.7742,18891.26
0,19,8,hispan,0,1,368.3422,300.7742,18510
0,17,9,black,0,1,0,297.1935,54.67588
0,21,14,white,0,0,107.7597,293.6129,7698.955
0,16,9,black,0,1,0,277.5,3983.951
0,23,13,black,0,0,172.4155,272.129,582.2243
0,16,9,white,0,1,411.446,254.2258,1725.985
0,17,11,hispan,0,1,803.2994,248.8548,5173.521
0,46,7,white,0,1,1081.515,245.2742,0
0,32,10,white,1,1,4145.809,238.1129,8245.714
0,18,11,white,0,1,131.2709,218.4194,7503.896
0,23,12,hispan,1,0,0,216.629,0
0,18,10,white,1,1,0,211.2581,14053.18
0,19,10,black,0,1,1056.045,205.8871,0
0,16,7,black,0,1,133.2301,205.8871,6145.865
0,26,7,white,1,1,1538.024,189.7742,650.1997
0,16,10,white,0,1,0,189.7742,2136.793
0,17,10,white,0,1,0,182.6129,6423.677
0,17,10,white,0,1,0,171.871,1483.637
0,23,8,white,1,1,33.30754,166.5,0
0,29,12,white,1,0,14641.6,162.9194,9473.705
0,17,10,white,0,1,0,152.1774,10301.23
0,49,8,white,1,1,14684.7,136.0645,14963.46
0,20,10,white,1,1,6563.544,134.2742,15363.92
0,40,16,white,1,0,0,114.5806,0
0,19,10,white,0,1,1933.796,112.7903,675.321
0,18,11,white,0,1,1481.206,57.29032,1421.573
0,16,6,black,0,1,0,44.75806,0
0,22,8,white,1,1,105.8004,42.96774,209.8372
0,31,12,black,1,0,0,42.96774,11023.84
0,20,11,white,1,1,4478.884,39.3871,6280.338
0,17,11,hispan,0,1,601.4949,10.74194,1913.656
0,50,12,white,1,0,25862.32,0,25564.67
0,49,14,white,1,0,25862.32,0,25564.67
0,47,9,white,1,1,25862.32,0,25564.67
0,34,11,hispan,1,1,22198.49,0,0
0,22,8,black,1,1,16961.37,0,959.0445
0,27,12,white,1,0,15509.56,0,12593.19
0,30,10,white,1,1,14913.94,0,11563.21
0,52,12,white,1,0,14780.71,0,25564.67
0,43,12,white,1,0,13321.05,0,16860.86
0,27,9,hispan,1,1,12829.28,0,0
0,35,13,white,0,0,9537.711,0,11269.14
0,45,12,white,1,0,9277.128,0,12108.49
0,22,11,black,1,1,9049.853,0,9088.018
0,22,12,white,1,0,9022.424,0,3342.618
0,23,11,white,1,1,8910.745,0,4183.444
0,55,7,white,1,1,8832.375,0,0
0,26,14,white,0,0,8411.132,0,0
0,34,12,white,0,0,8125.079,0,6032.08
0,22,11,white,0,1,8013.401,0,5748.356
0,31,12,white,0,0,6156.016,0,4094.78
0,19,12,white,0,0,5797.47,0,2160.436
0,24,10,white,1,1,5523.173,0,5040.525
0,36,12,white,1,0,5374.269,0,0
0,20,9,white,1,1,5229.283,0,15892.95
0,23,8,white,1,1,4610.155,0,0
0,35,11,white,1,1,3975.352,0,21963.45
0,23,12,white,0,0,3893.063,0,16324.45
0,29,10,white,0,1,3751.996,0,251.2135
0,24,9,white,1,1,3438.513,0,818.6605
0,18,10,white,0,1,3360.143,0,0
0,45,8,black,0,1,3299.405,0,31.03226
0,21,13,hispan,0,0,3015.312,0,17627.8
0,29,13,white,1,0,2780.2,0,14339.86
0,21,15,white,0,0,2629.336,0,1717.118
0,22,16,black,0,0,2564.68,0,116.7404
0,24,12,black,1,0,2355.039,0,2448.593
0,20,14,white,0,0,2210.053,0,2813.591
0,19,6,black,0,1,1955.348,0,14998.92
0,19,9,hispan,0,1,1822.118,0,3372.172
0,19,12,black,0,0,1681.051,0,0
0,20,13,white,0,0,1657.54,0,913.235
0,19,12,black,0,0,1655.58,0,0
0,26,5,white,1,1,1573.291,0,3700.227
0,26,9,hispan,0,1,1563.495,0,2862.356
0,23,12,white,0,0,1504.717,0,0
0,20,9,hispan,0,1,1500.798,0,12618.31
0,20,10,white,0,1,1412.631,0,6290.682
0,36,11,white,1,1,1404.794,0,0
0,39,12,white,1,0,1289.198,0,1202.869
0,17,9,black,0,1,1222.582,0,422.6298
0,55,3,white,0,1,1208.868,0,0
0,28,8,white,1,1,1202.99,0,19516.33
0,19,12,hispan,0,0,1058.004,0,8923.991
0,37,7,white,1,1,963.9593,0,0
0,16,9,white,1,1,920.8554,0,15997.87
0,17,10,white,0,1,646.558,0,9438.24
0,24,12,black,0,0,566.2281,0,2284.565
0,19,11,white,0,1,540.7576,0,3406.16
0,50,5,black,1,1,411.446,0,9166.338
0,19,9,black,0,1,384.0163,0,0
0,36,1,black,0,1,348.7495,0,0
0,18,11,white,0,1,321.3198,0,7722.599
0,16,7,hispan,0,1,289.9715,0,7515.717
0,21,11,white,1,1,246.8676,0,6708.879
0,55,6,white,1,1,111.6782,0,0
0,37,12,white,0,0,48.98167,0,877.7696
0,26,12,hispan,1,0,47.0224,0,0
0,54,12,white,1,0,0,0,0
0,50,12,white,1,0,0,0,0
0,16,8,white,0,1,0,0,2559.422
0,16,9,hispan,0,1,0,0,0
0,18,10,black,0,1,0,0,2281.61
0,40,11,black,1,1,0,0,0
0,16,8,white,0,1,0,0,0
0,16,9,black,0,1,0,0,2158.959
0,26,14,white,0,0,0,0,6717.745
0,20,9,black,0,1,0,0,6083.8
0,20,12,black,0,0,0,0,0
0,18,11,black,0,1,0,0,0
0,46,11,black,1,1,0,0,2820.98
0,17,8,black,0,1,0,0,12760.17
0,16,9,white,0,1,0,0,4974.028
0,30,10,white,1,1,0,0,3151.991
0,33,12,hispan,1,0,0,0,5841.453
0,34,12,black,1,0,0,0,18716.88
0,21,13,black,0,0,0,0,17941.08
0,29,11,white,1,1,0,0,0
0,19,12,white,0,0,0,0,0
0,31,4,hispan,0,1,0,0,1161.493
0,19,12,hispan,0,0,0,0,18573.55
0,20,12,black,0,0,0,0,11594.24
